ticker,published_utc,title,publisher,url
AN,2025-11-12T23:51:42+00:00,Barclays Initiates Coverage of AutoNation (AN) with Overweight Recommendation,Fintel,https://finnhub.io/api/news?id=3a732e0cae56a0457aa3b8df329323b8791d9fc4781bd97c179f397f40963772
AN,2025-11-12T14:45:56+00:00,"Carvana initiated, AT upgraded: Wall Street's top analyst calls",Yahoo,https://finnhub.io/api/news?id=246ffc751c1ff83e85ea940723560562b42dfb23cc791c62971a5316114717c3
AN,2025-11-06T00:09:33+00:00,JP Morgan Maintains AutoNation (AN) Neutral Recommendation,Fintel,https://finnhub.io/api/news?id=83c4ab8b3620cfc7037db7e9596d8a215895dfd2c0f2d32a9383787f2688fc79
AN,2025-11-06T00:08:08+00:00,Morgan Stanley Maintains AutoNation (AN) Overweight Recommendation,Fintel,https://finnhub.io/api/news?id=0fbe9c4fb29dbf86de5005c7ec973f151e05f05ca981029a806166748cd1642d
AN,2025-11-04T14:16:27+00:00,"AutoNation, Inc. (AN) Presents at 49th Annual Automotive Symposium Transcript",SeekingAlpha,https://finnhub.io/api/news?id=85d8225423a231c97221ff0746a44ad7d75750c94cf8802f33f58a1d61b21a4d
AN,2025-11-02T16:08:35+00:00,A Fresh Look at AutoNation (AN) Valuation Following $1 Billion Stock Buyback Announcement,Yahoo,https://finnhub.io/api/news?id=6e2c2686040b38bbc5796efda944586e7338e7e0272d061b309abb3021fd8b46
AN,2025-10-31T13:40:02+00:00,Here's Why AutoNation (AN) is a Strong Value Stock,Yahoo,https://finnhub.io/api/news?id=1abbd058482b8b72ae15c9abbeb69b7650367b0b3f3fe284162a4534302586a2
AN,2025-10-31T13:15:00+00:00,AutoNation Board Authorizes Additional $1 Billion for Share Repurchase,Yahoo,https://finnhub.io/api/news?id=070df47e7b961804c6dea42325c6c0a036620a35218512572720786ead8d3ab6
AN,2025-10-28T12:00:00+00:00,"Gabelli Funds to Host 49th Annual Automotive Symposium at The Encore at Wynn, Las Vegas, Nevada",Yahoo,https://finnhub.io/api/news?id=170fb0f1fc6b620fe2edc6c3d3e0596a7c3cfe7c43f7cfbfa470cc0652a50f73
AN,2025-10-24T14:06:00+00:00,"AutoNation's Q3 Earnings Surpass Estimates, Revenues Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=8fb2a1da6506be50b63922f4f2fbb276dd252c75d1c7aa492797dbe2904541d7
AN,2025-10-24T05:15:30+00:00,AutoNation (AN): Margin Decline Challenges Valuation as Profit Trends Lag Bullish Outlook,Yahoo,https://finnhub.io/api/news?id=566274f8c22e5d7f3ea70cee26d6fabf7f1d26f0cc0cc925ab001bd911bcfbda
AN,2025-10-23T19:57:40+00:00,"AutoNation, Inc. (AN) Q3 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=922834c189fb0de8073bdc3574d31a87b76a40ef3982b35f6bb01db5c4a37613
