ticker,published_utc,title,publisher,url
ANSS,2025-08-18T14:30:00+00:00,"Simulation Software Market Surges to $36.22 billion by 2030 - Dominated by Dassault Systemes (France), Ansys (US), Autodesk (US)",Yahoo,https://finnhub.io/api/news?id=f19cc687ad657031f81908de52c50e4bf41d5c0a0ee2a36ac8e238d6028fc237
ANSS,2025-08-13T18:13:34+00:00,Ansys collaborates with Nvidia to embed Omniverse in simulation solutions,Yahoo,https://finnhub.io/api/news?id=45a6174d6d28798b49420ecdc239f16e7541dbe3baf9a89460bd4df2a458e292
ANSS,2025-08-12T13:00:00+00:00,Ansys Announces Agreement to Offer Access to NVIDIA Omniverse Technology from within Simulation Solutions,Yahoo,https://finnhub.io/api/news?id=ba31358aa855f1569ca340d98a33c9aeeb8f3a5c871e67595ffa94fa9e41f7ca
ANSS,2025-08-11T15:14:00+00:00,IonQ Stock Surges on Quantum Breakthroughs: More Upside Ahead?,Yahoo,https://finnhub.io/api/news?id=5e1853d33a0582462658aef6b73d334a504e39d110165591fda9795834ecd3e4
ANSS,2025-08-08T13:30:00+00:00,"Computer-aided Engineering (CAE) Market Surges to $19.96 billion by 2030 - Dominated by Ansys (US), Autodesk (US), Dassault Systèmes (France)",Yahoo,https://finnhub.io/api/news?id=7530bf815a126baeb88f4c37973cbd73223dfef284fe385da3eb3dd85e590621
ANSS,2025-08-07T02:19:26+00:00,"Goldman Sachs Raised the Firm’s PT on Synopsys (SNPS), Kept a Buy Rating",Yahoo,https://finnhub.io/api/news?id=f90889993a1eea4ebf4a57a1180160aca2098e59f82881cf44c4220133a30e4d
ANSS,2025-08-06T08:53:00+00:00,"Electric Vehicle Sound Generator Market Growth Trends and Competitive Strategies Report 2025-2033 | Safety Regulations, Customizable Audio Demand, and Technological Advancements Driving Growth",Yahoo,https://finnhub.io/api/news?id=77d2896368afa98dd6d9b6495ec35a90385d74c3d23bc29fe2fb7e1ab9ce90d2
ANSS,2025-07-29T13:00:00+00:00,"Ansys 2025 R2 Enables Next-Level Productivity by Leveraging AI, Smart Automation, and Broader On-Demand Capabilities",Yahoo,https://finnhub.io/api/news?id=63b5e8ffae4cdd0b45850650ef1c3e419e48b4c9e617514f4df596dca59e8dd3
ANSS,2025-07-29T00:03:00+00:00,Is Synopsys Stock Your Ticket to Becoming a Millionaire?,Yahoo,https://finnhub.io/api/news?id=38168237c179c8c1534d1913ceb7ad38c0f12edf9533bb36908706ca9888bb77
ANSS,2025-07-21T15:51:07+00:00,"Synopsys Acquisition Of Ansys Gives It Unique Capabilities, CFO Says",Yahoo,https://finnhub.io/api/news?id=f43274e08bbebdb3ed3eb323d169861e4b5c8e4f8edc4d55997bb68c046721c3
ANSS,2025-07-21T10:30:00+00:00,Block Surges on S&P 500 Inclusion: ETFs in Focus,Yahoo,https://finnhub.io/api/news?id=af8fe04c9cb04400dea268f361e735b3888e6b31dfb7f3f64b34da8151374e37
ANSS,2025-07-20T05:18:48+00:00,What to Expect From ANSYS’ Q2 2025 Earnings Report,Yahoo,https://finnhub.io/api/news?id=775366fe53d47989fd2cf1fb158a93aba313bd7f944203be5676a2d6dbfa122a
