ticker,published_utc,title,publisher,url
APTV,2025-11-11T14:14:48+00:00,Aptiv (APTV): Evaluating Valuation as Robotics Partnership with Robust.AI Accelerates Automation Push,Yahoo,https://finnhub.io/api/news?id=07556e282bb4862df07439c62b8c14ffe064528bbf5eec4c2878c31dd7c5e028
APTV,2025-11-11T13:04:24+00:00,"Final Trades: Phillips 66, Aptiv, Parker Hannifin and the EEM",CNBC,https://finnhub.io/api/news?id=a39f58bdaeaf13a1fe1a9a713e2011bddaae39b2292caf4af416a74541b722d0
APTV,2025-11-11T07:20:00+00:00,"Zacks.com featured highlights include Vertiv, Universal Health Services, Aptiv, Ameren and FirstCash",Yahoo,https://finnhub.io/api/news?id=46ec0ef8905064f5cad5bee732ab0562b9999e1bee76c1f2cbdeb607560a5148
APTV,2025-11-10T13:29:00+00:00,Buy These 5 Stocks With Solid Sales Growth Despite Volatile Markets,Yahoo,https://finnhub.io/api/news?id=c465b26ada59366528ec88cb9581bc34fa6a4328fa26fd506cc69c9f7a656d28
APTV,2025-11-10T13:00:00+00:00,Aptiv and Robust.AI to Co-Develop AI-Powered Collaborative Robots,Yahoo,https://finnhub.io/api/news?id=9b41666af75e39d1a7273ffb597544f676e9abaac177895c085314b50ca5bee3
APTV,2025-11-07T16:40:04+00:00,APTV or MOD: Which Is the Better Value Stock Right Now?,Yahoo,https://finnhub.io/api/news?id=8d3ee1d7180e00e5fe9aba1aead2776ce62e780c33f137cd9255c9ac63427f57
APTV,2025-11-07T14:40:03+00:00,Is APTIV HLDS LTD (APTV) Outperforming Other Auto-Tires-Trucks Stocks This Year?,Yahoo,https://finnhub.io/api/news?id=5c34c365a4bc1ab8807c9689e70f571b218167b2b05461ee8fac779c3eb919be
APTV,2025-11-07T14:30:04+00:00,Wall Street Analysts Think APTIV HLDS LTD (APTV) Is a Good Investment: Is It?,Yahoo,https://finnhub.io/api/news?id=47c2fb07299d849cedc18cf97413c138283aa1d12b3ca5e8041e9d43e579453c
APTV,2025-11-06T10:45:20+00:00,We Think You Can Look Beyond Aptiv's (NYSE:APTV) Lackluster Earnings,Yahoo,https://finnhub.io/api/news?id=8e00bf57d675204366fcf3961598da724849f67849768939bccdd3b5d4555d0e
APTV,2025-11-04T17:29:23+00:00,Aptiv Stock: Is Wall Street Bullish or Bearish?,Yahoo,https://finnhub.io/api/news?id=9d0ce168e4f1fa41cf7d0f1e6d56aef4a0ca4a53ffee75aec8c8615a9d65f7fc
APTV,2025-11-04T15:00:00+00:00,Aptiv Receives Frost & Sullivan's 2025 Global Product Leadership Recognition for Excellence in Automotive Assisted Parking Solutions,Yahoo,https://finnhub.io/api/news?id=7d567d1aa5463dff05d0ef3f1f81005de9ab86079775f94de07e541151264e57
