ticker,published_utc,title,publisher,url
BURL,2025-11-11T21:15:00+00:00,"Burlington Stores, Inc. Announces Third Quarter Fiscal Year 2025 Earnings Release Date, Conference Call and Webcast",Yahoo,https://finnhub.io/api/news?id=0f6f8cde5958552f1fbcc647cff49bc1502469652b0d6ddb6045b90ef98c0923
BURL,2025-11-10T14:00:01+00:00,Why Investors Need to Take Advantage of These 2 Retail-Wholesale Stocks Now,Yahoo,https://finnhub.io/api/news?id=a9512e923e07a67df19d2a8dafeb7bda2d1e7b06866a69ce7b0bd4625752858d
BURL,2025-11-06T00:08:17+00:00,Morgan Stanley Maintains Burlington Stores (BURL) Overweight Recommendation,Fintel,https://finnhub.io/api/news?id=4cab90add411db70285216bc061c7cf9cbf134d310c437ff51a448367885a937
BURL,2025-11-05T14:51:46+00:00,"Pinterest downgraded, Tractor Supply upgraded: Wall Street's top analyst calls",Yahoo,https://finnhub.io/api/news?id=c688f30b09b642be31d2703638b5b217d604c4bc4bee6202843bdb46d0b40e96
BURL,2025-11-04T21:16:56+00:00,A Fresh Look at Burlington Stores (BURL) Valuation After Analyst Upgrades and Optimism on Growth Prospects,Yahoo,https://finnhub.io/api/news?id=915bb3d16dd817e7c6146ab68642a14c63a2bbc82d7b4cc53d26936a47632e4e
BURL,2025-11-04T00:08:47+00:00,Citigroup Maintains Burlington Stores (BURL) Buy Recommendation,Fintel,https://finnhub.io/api/news?id=8a216e1177cb7e97b76b0e8c25c1b0f207a183b40b8fbd2479c405d65733120a
BURL,2025-11-03T17:10:04+00:00,Will Burlington Stores (BURL) Beat Estimates Again in Its Next Earnings Report?,Yahoo,https://finnhub.io/api/news?id=24b5e9dda95ae67580b6d7d0828ddc191149044ea37ebc97c9d139f64faef6c6
BURL,2025-10-30T13:45:01+00:00,Here's Why Burlington Stores (BURL) is a Strong Growth Stock,Yahoo,https://finnhub.io/api/news?id=2320520262d07fe1159888ab2b1166cfe3cce3d007ff947d82ca065e00f67557
BURL,2025-10-29T13:30:02+00:00,Burlington Stores (BURL) Recently Broke Out Above the 50-Day Moving Average,Yahoo,https://finnhub.io/api/news?id=f7ef9c44d5918f7dcce88e3052caa22415e48dc1295231d826532c03d053d490
BURL,2025-10-29T04:31:16+00:00,3 Mid-Cap Stocks with Warning Signs,Yahoo,https://finnhub.io/api/news?id=af65c5ebc76dc105ae6db46c3bf9c6183dad8f382fdcf43a7682757e8b2c5371
BURL,2025-10-28T17:37:59+00:00,3 Stocks Estimated To Be Up To 34.7% Below Their Intrinsic Value,Yahoo,https://finnhub.io/api/news?id=fffee2a755d10eb90dd306a7c792f6a163395050519e307972dc8a0f4c79bf5f
BURL,2025-10-28T04:04:35+00:00,"Burlington (BURL): Buy, Sell, or Hold Post Q2 Earnings?",Yahoo,https://finnhub.io/api/news?id=c73ac0a1f4fec681ab3c94b041279230b5e785069baa985a2ceaf0ae89344728
BURL,2025-10-27T22:32:27+00:00,Wells Fargo Maintains Burlington Stores (BURL) Overweight Recommendation,Fintel,https://finnhub.io/api/news?id=67ecf1be089fe5356be1e1606feb87221c5ef9786cc3d6eafa78b30ea2c7f381
BURL,2025-10-21T17:13:00+00:00,Tractor Supply Gears Up for Q3 Earnings: What's in the Offing?,Yahoo,https://finnhub.io/api/news?id=4ecc05e3c1293e1b311934c8f6d9f8feb167905d687ff7f6b01391832297ac90
BURL,2025-10-20T18:55:26+00:00,"US Set for Average Holiday Spending Year as Softline Retailers Eye Potential Upside, UBS Says",Yahoo,https://finnhub.io/api/news?id=47ca2a2c67e24d5d1d6c763fe117b1673366f11187cdf29f1ee9718f185ce950
