ticker,published_utc,title,publisher,url
CAR,2025-11-12T18:50:00+00:00,Short Interest Update,SeekingAlpha,https://finnhub.io/api/news?id=d59174b50f1fefb9a35ca8581c76ccf72ebd789964f5cd1ce92493fb138db22d
CAR,2025-11-12T04:40:43+00:00,1 Unpopular Stock That Deserves Some Love and 2 We Ignore,Yahoo,https://finnhub.io/api/news?id=4c8790d42a566c6b8158938e6587dd4bc4af5704d00d31109f9a27df02071770
CAR,2025-11-11T16:33:00+00:00,"Avis, Payless Car Rental must pay millions over hidden-fee scandal",Yahoo,https://finnhub.io/api/news?id=78979749d4f3144164ec1821c958d84720d2f430c9e4bdf111f1595b4e0074c0
CAR,2025-11-09T11:13:10+00:00,Avis Budget Group (CAR): Examining Valuation After Strong Profit Growth in Third Quarter Results,Yahoo,https://finnhub.io/api/news?id=475d6cffb251d5d4179d8d7ff68ae4b4789d3cad0a6ede177288bf72c4aa876c
CAR,2025-11-04T16:01:00+00:00,Hertz Stock Surges 37% on Return to Profitability. What’s Driving the Gains.,Yahoo,https://finnhub.io/api/news?id=028531446d42ea7725d5683986c59fbbee23302be85f7b784661af6e3546b7e3
CAR,2025-11-03T18:16:20+00:00,"Avis Budget Group (CAR) Stock Trades Down, Here Is Why",Yahoo,https://finnhub.io/api/news?id=847c85765087f05c9ddb1a27d2e7d74f213d29686b9c1a6b449777d16f29b875
CAR,2025-11-03T05:32:11+00:00,5 Insightful Analyst Questions From Avis Budget Group’s Q3 Earnings Call,Yahoo,https://finnhub.io/api/news?id=f8b31b486bb3d4c1a485d2245a7f5ab31c58d5a0353c9f9d2ecde87545ac3ac4
CAR,2025-10-29T18:11:14+00:00,Why Hertz (HTZ) Stock Is Up Today,Yahoo,https://finnhub.io/api/news?id=d0436542a16879c18fa0cc6beeb8bdf8ff2d3803c2d797a319926fef7a593277
CAR,2025-10-29T13:16:55+00:00,Avis Budget Group (CAR): Stretch of Rising Losses Sets Stage for Profitability Pivot Heading Into Earnings,Yahoo,https://finnhub.io/api/news?id=d522b873a74aa5dd29f75e5d3a0af0e11e1b3110d2a6a61cf9f676f6e12baf6b
CAR,2025-10-29T00:16:25+00:00,How Avis Budget Group's (CAR) Strong Q3 Earnings and Cost Controls Have Changed Its Investment Story,Yahoo,https://finnhub.io/api/news?id=d2f72a1fea5ca55f44f569b1b792708559357b1734c9f51cb4002cab4bd23422
CAR,2025-10-28T16:30:56+00:00,CAR Q3 Deep Dive: Margin Expansion Amid Customer Experience Overhaul and Ongoing Recall Headwinds,Yahoo,https://finnhub.io/api/news?id=7eb5f7ff7abaf6ebb1e9a77004d38fe22a6b36f8f2f5f8621e5bc0a00fc0494f
CAR,2025-10-28T12:02:24+00:00,"Avis Budget Group, Inc. 2025 Q3 - Results - Earnings Call Presentation",SeekingAlpha,https://finnhub.io/api/news?id=7bfdd2a946e501b4329f2293d8655c5a68f343949a43159e140552240e2af915
