ticker,published_utc,title,publisher,url
CB,2025-11-12T14:00:04+00:00,Chubb Limited (CB) is Attracting Investor Attention: Here is What You Should Know,Yahoo,https://finnhub.io/api/news?id=d5503b05dc4169728e70f6fc47dd062f7556a13ba81b975a55dc907c9ac97c8a
CB,2025-11-12T07:00:00+00:00,Chubb Launches AI-Powered Embedded Insurance Engine,Yahoo,https://finnhub.io/api/news?id=3b7c5219bb923810bcf18df4ead16d98e9b8d32f34d5569a3d64f52d70c5e300
CB,2025-11-11T16:37:00+00:00,Chubb Ltd. stock outperforms competitors on strong trading day,MarketWatch,https://finnhub.io/api/news?id=ebaa7b62071b8de567fffe09728da6f89c40c2b3cdea739feb2b20c8d8bf7a1b
CB,2025-11-10T21:00:00+00:00,Chubb Appoints Susan Spivak to Lead Investor Relations,Yahoo,https://finnhub.io/api/news?id=dfe5d2e095da7d2b543b1cfb605970b345d0156489c309cd2641bd64081a4116
CB,2025-11-10T09:00:00+00:00,"Travelers Vs. Chubb: Comparing 2 PC Insurance Stocks, One A Warren Buffett Favorite",SeekingAlpha,https://finnhub.io/api/news?id=efe49256d30a2f744ee0d0e80fac250d9c6368a252ffadbba2f8cddb57b2bef6
CB,2025-11-07T16:38:00+00:00,Chubb Ltd. stock underperforms Friday when compared to competitors despite daily gains,MarketWatch,https://finnhub.io/api/news?id=25cb522c7293532fb8036afb4f7e2c0dc83360aba4ad7757403bff5f2eda4a45
CB,2025-11-07T10:12:00+00:00,3 Warren Buffett Stocks to Buy Hand Over Fist in November,Yahoo,https://finnhub.io/api/news?id=7952e103db5086653eed698802b2c0503a5e353a17d0c02c6e65ddcef2666094
CB,2025-11-06T18:47:00+00:00,"MetLife Q3 Earnings Beat Estimates on Lower Costs, Asia Unit Strength",Yahoo,https://finnhub.io/api/news?id=f8b3d88391ca880ffb421d6f1020fada8ccbf68c01c3d3bff4bf06ae764df2be
CB,2025-11-05T22:10:02+00:00,A Fresh Look at Chubb's Valuation Following Leadership Transition Announcement,Yahoo,https://finnhub.io/api/news?id=b625185a392fdc1f35242e02981ba3bfe3ff6115a463588e6a8c93ff640ab8c3
CB,2025-11-05T14:43:00+00:00,Assurant Q3 Earnings & Revenues Top Estimates on Higher Premiums,Yahoo,https://finnhub.io/api/news?id=8e48c49b8b3ca23577bcd0490ae30c683de65f13bd54e4451350af0415a93a90
CB,2025-11-04T15:30:00+00:00,Chubb Announces John Lupica to Retire,Yahoo,https://finnhub.io/api/news?id=692193d782454c440fc607f0a1d6e484bf2ac7fe15895f17eb37af37ad9e3bd0
CB,2025-11-04T14:35:00+00:00,"Unum Group Q3 Earnings Miss on Higher Expenses, Revenues Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=c21118dd05f765d1ba0daf756965d2bf3f4a470139a4f21d2d7de74ba2f76cb2
CB,2025-11-04T14:30:00+00:00,CNA Financial Q3 Earnings Beat Estimates on Solid Underwriting,Yahoo,https://finnhub.io/api/news?id=926f9fde2cc1a93c42dc5f3821afd6332ec8782e3863d2a41fa7c1fa72480dc9
CB,2025-10-31T13:00:23+00:00,"Insiders At Chubb Sold US$31m In Stock, Alluding To Potential Weakness",Yahoo,https://finnhub.io/api/news?id=4794720f04a4c8353c5e6efddd4aab8921ed71685b912e30d34b81b0db2c9ad7
CB,2025-10-30T17:00:00+00:00,EG Q3 Earnings & Revenues Miss Estimates on Poor Underwriting Show,Yahoo,https://finnhub.io/api/news?id=a40e13c00674116611cb7a9614ba646891d8e604c2f70028e00688db71b8916f
CB,2025-10-30T16:51:00+00:00,Prudential Financial Q3 Earnings Beat Estimates on Lower Expenses,Yahoo,https://finnhub.io/api/news?id=e02c5bc5d2380abfce6cf4305a0bfcaf4030b6e493a7fffb392ee904b75d8ad6
CB,2025-10-30T16:42:00+00:00,Willis Towers Q3 Earnings Beat Estimates on Lower Expenses,Yahoo,https://finnhub.io/api/news?id=f885928360944e0ba24a7cbd5c2fda95041d66cd9c19fc25b8780623ff53c311
CB,2025-10-29T17:06:00+00:00,"RNR Q3 Earnings Beat on Lower Expenses, Strong Underwriting Results",Yahoo,https://finnhub.io/api/news?id=48a3dd9c9337b462942f302e44b1b3f3295e54eec5fb830b920baa3f5a281ece
CB,2025-10-29T12:45:08+00:00,"Calls of the Day: Uber, Datadog, UnitedHealth, Chubb and FTAI Aviation",CNBC,https://finnhub.io/api/news?id=188f8251f806c9f97ef7fe5866e9db99eb67cd9d7467bccef3f1f15e297eb061
CB,2025-10-29T02:24:09+00:00,Chubb Limited (CB) Continues to Reward Investors with 32 Straight Years of Dividend Hikes,Yahoo,https://finnhub.io/api/news?id=ce75f43c7c65a0fffc3f0ba908269113349db441def8378091db9cf5d54b97ae
CB,2025-10-29T01:17:48+00:00,Cantor Fitzgerald Lifts Chubb’s (CB) Price Target to $300 on Strong Premium Outlook,Yahoo,https://finnhub.io/api/news?id=3e102c6517bce1a450764f2ceccdf44555ce7ddf005288df32ad44c05702c74d
CB,2025-10-28T16:39:00+00:00,Chubb Ltd. stock underperforms Tuesday when compared to competitors,MarketWatch,https://finnhub.io/api/news?id=b949a0fca9e753975427f468a6161b7652c0ea23a9c9af0edf95ab48af7780a7
CB,2025-10-28T16:02:39+00:00,"Jim Cramer Says Yes to D-Wave Quantum, But as a Spec",Yahoo,https://finnhub.io/api/news?id=00938b623e76b0b285215d7360e1cff3d455040bc44dbbd75b1b81d366125822
CB,2025-10-28T14:47:00+00:00,"Brown & Brown Q3 Earnings & Revenues Beat Estimates, Dividend Raised",Yahoo,https://finnhub.io/api/news?id=150649e8fde7e23d07ac4227866e3c88129bd43c8003bd8f3e5a051f163c4056
CB,2025-10-28T14:30:00+00:00,"Principal Financial Q3 Earnings & Revenues Lag Estimates, Dividend Up",Yahoo,https://finnhub.io/api/news?id=da5e52123e6831781aa8e0f3c82d612afdd17e85985621f9084473822d06f600
