ticker,published_utc,title,publisher,url
CNP,2025-11-11T16:40:03+00:00,PCG vs. CNP: Which Stock Should Value Investors Buy Now?,Yahoo,https://finnhub.io/api/news?id=4dfecc984dca39521b1676077928fefe9e9f758844e94a375a3444d239d451f1
CNP,2025-11-08T08:15:00+00:00,Why Investors Should Expect October 2025 Consumer Price Index To Rise,SeekingAlpha,https://finnhub.io/api/news?id=6e6a8bb03302d89b068ef209deff048abb29b0331c5faf93277ee1992bbfd5d6
CNP,2025-11-07T15:28:00+00:00,"Alliant Energy Lags on Q3 Earnings, Beats on Sales, Narrows View",Yahoo,https://finnhub.io/api/news?id=682102bb534da789f2e725739c40d643892d32086709c36c8156680ce0f77fc4
CNP,2025-11-07T13:42:00+00:00,"Duke Energy Q3 Earnings Beat Estimates, Revenues Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=6498a85d3d696150474093bb07adb8c87ab5a800e9a458f3b5e111ea86f56b2e
CNP,2025-11-07T13:40:00+00:00,"Consolidated Edison Q3 Earnings Beat Estimates, Revenues Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=8262779b8dc1e62b2cfcc0d1d06eb578805aeece4b0264de2c628221e5203362
CNP,2025-11-07T13:16:26+00:00,Is CenterPoint Energy's (CNP) $53 Billion Investment Plan Changing Its Long-Term Growth Outlook?,Yahoo,https://finnhub.io/api/news?id=d0d7e7d61c77a84b4f2b14cbc5bafa1d45175a681d1ce3e781040a4e8e1fbe57
CNP,2025-11-07T12:18:27+00:00,CenterPoint Energy (CNP): Is There More Value After a 24% Share Price Surge?,Yahoo,https://finnhub.io/api/news?id=7474e416354490ca97c52419f29114c06f443198fa48fa2bb296e6d05d9f9429
CNP,2025-11-06T13:47:45+00:00,Are Wall Street Analysts Bullish on CenterPoint Energy Stock?,Yahoo,https://finnhub.io/api/news?id=5c78dc5bfd444eafbbc8045f2c40363ffafbd288185ee522306275186297f2ca
CNP,2025-11-06T13:28:00+00:00,Duke Energy to Release Q3 Earnings: Here's What You Need to Know,Yahoo,https://finnhub.io/api/news?id=060c8be9571b388fe08835d40c58d81f9c2f16233a3b3525ca6f17aadaf67a09
CNP,2025-11-05T15:59:00+00:00,"PPL Beats Q3 Earnings & Revenues Estimates, Narrows EPS Guidance",Yahoo,https://finnhub.io/api/news?id=a725af39a8d4909216805690e85423a38975d0dd27c76cdb1459017cbd9f6aee
CNP,2025-11-04T16:11:00+00:00,"Exelon Beats Q3 Earnings & Sales Estimates, Serves More Customers",Yahoo,https://finnhub.io/api/news?id=e32fab1981d0083d60ef6c3f2fb5e905f992d71f908c15e4ed71547b80265d61
CNP,2025-11-04T07:59:00+00:00,"Zacks Industry Outlook Highlights Duke Energy, Dominion Energy, Entergy and CenterPoint",Yahoo,https://finnhub.io/api/news?id=5e4fc38c8e863326716668d8c7f1a4f3a4fcc66a880c65c4b7555759394f03f7
CNP,2025-11-03T17:15:00+00:00,4 Utility Stocks to Buy From the Thriving Electric Power Industry,Yahoo,https://finnhub.io/api/news?id=8b665439f0297c9c5fef879dea22f3bec21e06d5a2f1aa10d722b39dadfe9088
CNP,2025-11-03T17:07:44+00:00,How Recent Developments Are Shaping the CenterPoint Energy Investment Story,Yahoo,https://finnhub.io/api/news?id=3092e6171526614c6231a0acc444f5c0a408495ac82294ae66dd6e1dd7f162fd
