ticker,published_utc,title,publisher,url
COHR,2025-11-12T12:32:55+00:00,I'm Pressing Pause On IonQ (Downgrade) And Loading Up On QTUM Instead,SeekingAlpha,https://finnhub.io/api/news?id=5c524a3fc2b3550c87a2b1099664152781dd9ac624c1ddca2f3e880c71d625e0
COHR,2025-11-12T06:14:35+00:00,Why Analysts See Coherent’s Story Changing With New AI Growth and Upgraded Outlooks,Yahoo,https://finnhub.io/api/news?id=f19479a66ebe6bd9aaf22d9ab33f9e2b5c330f43bc0a770f3d59e6c2585e46ad
COHR,2025-11-12T04:39:21+00:00,1 Mid-Cap Stock with Impressive Fundamentals and 2 We Avoid,Yahoo,https://finnhub.io/api/news?id=68555b71877a74fb157f62f8a9386b135bd676fbcd3aba03e8789691151320f9
COHR,2025-11-11T18:47:00+00:00,MVST Stock Skyrockets 2656% in a Year: Still a Buy or Time to Wait?,Yahoo,https://finnhub.io/api/news?id=d4ce3d445f934786115e57ac93a7dd5384a36ab733187a1b63286b3bd8a54c67
COHR,2025-11-11T18:18:24+00:00,"Ciena Riding The Tiger With Robust AI-Driven Datacenter Growth, But Valuation Is Steep",SeekingAlpha,https://finnhub.io/api/news?id=f8bfd0b3e61e9854c8464e2b546d705c4e9aaf1b7c8a3a8e74cce21d49dc7cc2
COHR,2025-11-11T17:55:00+00:00,Here's Why Lumentum Stock Is a Promising Portfolio Pick Right Now,Yahoo,https://finnhub.io/api/news?id=ff4fc3476bc94d4120bd2c1349c492cf788bab0626d6ef4090c4d932fb260590
COHR,2025-11-11T17:26:09+00:00,Why Coherent (COHR) Shares Are Falling Today,Yahoo,https://finnhub.io/api/news?id=210b0e95c4fc56ef6d3867dd9725cb24bc3b035e3e05183314b69c0b0d0a2a24
COHR,2025-11-10T21:05:00+00:00,Coherent Unveils EDGE CUT20 OEM Cutting Solution for Intelligent Metal Cutting at Photonix Japan 2025,Yahoo,https://finnhub.io/api/news?id=e7ad37784746c97674291ceb67ed82485dc13e5fbdd184cb936339fd06c64c7a
COHR,2025-11-10T13:22:00+00:00,"Beat the Market the Zacks Way: Amgen, Ciena, Fair Isaac in Focus",Yahoo,https://finnhub.io/api/news?id=5a1e43fa9faae07072c9d5a098e1828e86527e55c0664d6c3767e62561d8eb1d
COHR,2025-11-08T17:17:27+00:00,Coherent (COHR): Evaluating Valuation After Strong Q1 Earnings and AI-Fueled Growth Momentum,Yahoo,https://finnhub.io/api/news?id=1522499318e087fcbe46cc1121e44e1b3e0c23147ad40d4d908b7a1ecfe0d066
COHR,2025-11-08T10:11:40+00:00,Coherent (COHR) Hits Fresh High on Q3 Blowout,Yahoo,https://finnhub.io/api/news?id=e66f1ba316a1707d87cacd8a32f6b40c67373d0046e9f3ee98fea12364f12bbc
