ticker,published_utc,title,publisher,url
EMR,2025-11-12T11:18:34+00:00,"Bloomberg Watch Shows 5 Ideal ""Safer"" November Dividend Dogs",SeekingAlpha,https://finnhub.io/api/news?id=37840da84d837480ec1527411a0829dbf378a504f168b30b8c54f3e1c1d9bc65
EMR,2025-11-11T14:00:00+00:00,Emerson to Automate Lithium Americas' Thacker Pass Lithium Project,Yahoo,https://finnhub.io/api/news?id=a2aa61592490ebc944a0311761924d7f9d539b57a27917f8cac745cf8ab6ce17
EMR,2025-11-10T21:50:43+00:00,JP Morgan Maintains Emerson Electric (EMR) Neutral Recommendation,Fintel,https://finnhub.io/api/news?id=3e5f54ca893b2e041a3e256031ba7276ed857b616c0d34b951636bd10b2ca640
EMR,2025-11-10T14:00:02+00:00,Emerson Electric Co. (EMR) Is a Trending Stock: Facts to Know Before Betting on It,Yahoo,https://finnhub.io/api/news?id=b6babe2ad59c570c13d7e2dc1911c6329d623577b1e5703f5822b11b2564f69b
EMR,2025-11-09T14:35:22+00:00,Four Days Left To Buy Emerson Electric Co. (NYSE:EMR) Before The Ex-Dividend Date,Yahoo,https://finnhub.io/api/news?id=28037a1292cd379c50bcbe9187a1830e3e320044bb0a1e4cb7014f05f8a2d1a8
EMR,2025-11-08T13:13:57+00:00,Emerson Electric Co. (NYSE:EMR) Just Released Its Annual Earnings: Here's What Analysts Think,Yahoo,https://finnhub.io/api/news?id=234d3d01d7671969e9df0ca94c95f311f90c8c792e02211025f66104766a95e5
EMR,2025-11-08T00:03:44+00:00,"Dividend Champion, Contender, And Challenger Highlights: Week Of November 9",SeekingAlpha,https://finnhub.io/api/news?id=0f24cb5e688ce530a1a3feef456bd575a4ec37a9f09b01feab5a82b5eee9fb0e
EMR,2025-11-06T21:24:00+00:00,Rockwell Automation Stock Jumps. It’s All About the Outlook.,Yahoo,https://finnhub.io/api/news?id=a9baeacd3dba1478809436728090f7e20c15b29292f2cb7ce1578cd42790323d
EMR,2025-11-06T20:03:13+00:00,Barclays Maintains Emerson Electric (EMR) Equal-Weight Recommendation,Fintel,https://finnhub.io/api/news?id=3af433d98aeaa921925e550f45c290b980f50d55ed03a640f5bf58771f099be2
EMR,2025-11-06T20:03:12+00:00,RBC Capital Maintains Emerson Electric (EMR) Outperform Recommendation,Fintel,https://finnhub.io/api/news?id=3074d64ed2d0a88662602de44cf01402a2351b1cfbf873eb25528f3ca76b9fa6
EMR,2025-11-06T13:28:39+00:00,"Rockwell tops fourth-quarter profit, revenue estimates on automation demand",Yahoo,https://finnhub.io/api/news?id=8d52bbb8f31c12a12dd23803bbd0f70fdd74525d16e05d672987c02f7cc3978e
