ticker,published_utc,title,publisher,url
ETR,2025-11-12T02:55:24+00:00,Energy Transfer LP (ET) and Entergy Louisiana Announces the Signing of a 20-Year Natural Gas Firm Transportation Agreement,Yahoo,https://finnhub.io/api/news?id=ca7449838979541c38cbcca86a35641b635c78f1150e395e7751a98dbebe97b9
ETR,2025-11-11T11:00:18+00:00,Entergy (NYSE:ETR) Is Experiencing Growth In Returns On Capital,Yahoo,https://finnhub.io/api/news?id=82d21a24dc8aab88afbd6585604aafb29bfb5908aa5c09d8361f354f21f27151
ETR,2025-11-09T07:34:00+00:00,TCW Relative Value Large Cap Fund Q3 2025 Buys And Sells,SeekingAlpha,https://finnhub.io/api/news?id=67278a2f84b8f3eb15a6180bf76bbe114baa39dece706deee9c4202fd9a2cf6d
ETR,2025-11-08T08:15:00+00:00,Why Investors Should Expect October 2025 Consumer Price Index To Rise,SeekingAlpha,https://finnhub.io/api/news?id=6e6a8bb03302d89b068ef209deff048abb29b0331c5faf93277ee1992bbfd5d6
ETR,2025-11-08T00:03:44+00:00,"Dividend Champion, Contender, And Challenger Highlights: Week Of November 9",SeekingAlpha,https://finnhub.io/api/news?id=0f24cb5e688ce530a1a3feef456bd575a4ec37a9f09b01feab5a82b5eee9fb0e
ETR,2025-11-07T13:42:00+00:00,"Duke Energy Q3 Earnings Beat Estimates, Revenues Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=6498a85d3d696150474093bb07adb8c87ab5a800e9a458f3b5e111ea86f56b2e
ETR,2025-11-07T13:40:00+00:00,"Consolidated Edison Q3 Earnings Beat Estimates, Revenues Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=8262779b8dc1e62b2cfcc0d1d06eb578805aeece4b0264de2c628221e5203362
ETR,2025-11-07T13:32:00+00:00,Buy 5 Low-Beta Utility Stocks to Dodge Ongoing Market Volatility,Yahoo,https://finnhub.io/api/news?id=e1d834615fe143faa7807c458dcd852db883ab9b875143fa7ca227f9d585487d
ETR,2025-11-07T13:12:58+00:00,Solid Earnings May Not Tell The Whole Story For Entergy (NYSE:ETR),Yahoo,https://finnhub.io/api/news?id=fd001a21c213b5a0c9a264ad2a6d175c42406de93ef1f1cf096814bf461bebf6
ETR,2025-11-07T12:30:00+00:00,Entergy Celebrates Nuclear Science Week 2025,Yahoo,https://finnhub.io/api/news?id=08b925eb49560d94a55ab427f24c36218b23ec30fcab1164c11cd5f97279cde2
