ticker,published_utc,title,publisher,url
FLGT,2025-11-11T09:04:40+00:00,"Fulgent Genetics, Inc. (FLGT) Presents at UBS Global Healthcare Conference 2025 Transcript",SeekingAlpha,https://finnhub.io/api/news?id=a670990d200e1273a3c58f568289a7f1d3e9a84386a380ef7c99119ebe1b9e52
FLGT,2025-11-07T14:56:17+00:00,"Fulgent Genetics, Inc. (FLGT) Q3 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=ab5e5a6515fb5f50b393d65ab85297d0d192595f470ea74796c63a52293a0bf3
FLGT,2025-11-07T13:02:11+00:00,"Fulgent Genetics, Inc. 2025 Q3 - Results - Earnings Call Presentation",SeekingAlpha,https://finnhub.io/api/news?id=f1afaa7a587012a12b43a41c7a966e88e23ea1ac9c10233403419201f221af14
FLGT,2025-10-21T11:05:00+00:00,Strength Seen in Schrodinger (SDGR): Can Its 13.8% Jump Turn into More Strength?,Yahoo,https://finnhub.io/api/news?id=8e765b3e121cd95533d9797c3d025e7f3587234eb19c285c5fec7cf7c4e3989b
FLGT,2025-10-20T10:00:00+00:00,Fulgent Shares Preliminary Data from Poster Presentation at ESMO 2025 Conference,Yahoo,https://finnhub.io/api/news?id=40e56fda2385ba17e60d5cd23450b9fc7625c8a2de6abab46469ec3d75f4fee3
FLGT,2025-10-16T11:00:00+00:00,"Fulgent to Announce Third Quarter 2025 Financial Results on Friday, November 7, 2025",Yahoo,https://finnhub.io/api/news?id=9cd0c9d5a0637d35aac015085753434721cce1e18393c0c77eeeca2df1f9afa4
FLGT,2025-10-15T12:59:19+00:00,This Fulgent Genetics Insider Increased Their Holding By 40% Last Year,Yahoo,https://finnhub.io/api/news?id=96e4208a5252924c892aef80089dcd403a21b34303a4c418db08aaaf715c7e26
FLGT,2025-09-18T13:15:55+00:00,The past five years for Fulgent Genetics (NASDAQ:FLGT) investors has not been profitable,Yahoo,https://finnhub.io/api/news?id=2f82d8553cb5d2c2ec8a79407dbb98ec4e733d2e5110f26e66554e595030c975
FLGT,2025-09-08T13:58:00+00:00,Fulgent Genetics: Core Growth Re-Acceleration And Gross Margin Expansion Are On Track (Reiterate Buy),SeekingAlpha,https://finnhub.io/api/news?id=a18af2296cf343d35ca8dd7c16d9d71f81bda66eae9d911675b67db36d8e5559
FLGT,2025-08-03T13:18:14+00:00,"Fulgent Genetics Second Quarter 2025 Earnings: Revenues Beat Expectations, EPS Lags",Yahoo,https://finnhub.io/api/news?id=c72da2cc03119b2832d9c7d58454469ace1d2ee05057a28478fabc7503231947
FLGT,2025-08-02T07:07:53+00:00,Fulgent Genetics Inc (FLGT) Q2 2025 Earnings Call Highlights: Strong Core Revenue Growth Amid ...,Yahoo,https://finnhub.io/api/news?id=bdee4405432c27b5d6aafed2c1324011a60d13b822eb9d74eaef0ff1071c3748
FLGT,2025-08-01T20:26:08+00:00,Why Fulgent Genetics Stock Was Crushing It on Friday,Yahoo,https://finnhub.io/api/news?id=d337a176a220266d41be6fb3c3b6a4897b414e2f99e4a8e5d4394328b55a8b5e
FLGT,2025-08-01T12:28:09+00:00,"Fulgent Genetics, Inc. (FLGT) Q2 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=946c1a8cbedcdf4831d6633f8e86760e8527063d31af9bf18d767646f132c980
FLGT,2025-08-01T12:19:26+00:00,"Fulgent Genetics, Inc. 2025 Q2 - Results - Earnings Call Presentation",SeekingAlpha,https://finnhub.io/api/news?id=b92dc5d84d4bdf1c7b2fd151c57a2061a49dbc1b2acfc690586b889f0fd98785
FLGT,2025-08-01T12:10:01+00:00,"Fulgent Genetics, Inc. (FLGT) Surpasses Q2 Earnings and Revenue Estimates",Yahoo,https://finnhub.io/api/news?id=25496c3da58b8d7d9ad6c5fd370b7d87aba983e214fcdff9a613e6e5f3672449
FLGT,2025-08-01T11:00:00+00:00,Fulgent Reports Second Quarter 2025 Financial Results,Yahoo,https://finnhub.io/api/news?id=6da81e69e525eedc15a31ca05440fd88e38413a3c7a14d1b110a87845d4747e6
FLGT,2025-07-17T11:00:00+00:00,Fulgent Genetics Receives EU CE Mark for FulgentExome & FulgentPLM,Yahoo,https://finnhub.io/api/news?id=75b71cca004c83a6296e006c76fb8f66293fec8d542f69e969fa1bad81c63300
FLGT,2025-07-10T20:05:00+00:00,"Fulgent to Announce Second Quarter 2025 Financial Results on Friday, August 1, 2025",Yahoo,https://finnhub.io/api/news?id=f9becc9ff972d890e9cd04e67fc17861d1a908750ae634ed6b082108523409d0
FLGT,2025-07-02T10:01:48+00:00,"Pomerantz Law Firm Investigates Claims On Behalf of Investors of Fulgent Genetics, Inc. - FLGT",Finnhub,https://finnhub.io/api/news?id=d90390ef378b10d6c1f8280402b8280f2b6ba7a367cbda04610c2eddac55c9e4
FLGT,2025-06-23T06:46:18+00:00,Fulgent Genetics: A 'Sum Of The Parts' Story,SeekingAlpha,https://finnhub.io/api/news?id=aac42affe6751cd94368f1fce7cce93bf6ecd7053787543a0477e7ab948efe00
FLGT,2025-06-02T10:40:48+00:00,"Fulgent Genetics, Inc. (NASDAQ:FLGT) is definitely on the radar of institutional investors who own 48% of the company",Yahoo,https://finnhub.io/api/news?id=e7c73d7240cdc2ab953891e37abb1702fbff43ae6ab8709eedeeaef30f34dbf3
FLGT,2025-05-19T08:12:04+00:00,"Wolf Haldenstein Adler Freeman & Herz LLP is investigating Fulgent Genetics, Inc",Finnhub,https://finnhub.io/api/news?id=96f685d3a7528c00b04cf54a862bc7570b51e2603a85d308847170d931b21cb9
FLGT,2025-05-03T07:03:36+00:00,Fulgent Genetics Inc (FLGT) Q1 2025 Earnings Call Highlights: Navigating Growth and Challenges,Yahoo,https://finnhub.io/api/news?id=2e5005536e4792372a25fb8c7031f5f9fe7f2a531d696eab8bbc106c970d1335
FLGT,2025-05-03T03:35:19+00:00,Q1 2025 Fulgent Genetics Inc Earnings Call,Yahoo,https://finnhub.io/api/news?id=de997de4247bc69fc25fcc4b426af8815dd69dec20b8198b16e502889052281c
FLGT,2025-05-02T22:40:23+00:00,Fulgent Genetics : Q1 2025 Fulgent Genetics Earnings Transcript,Finnhub,https://finnhub.io/api/news?id=cca39c4efa67f4b6b31f0c6dab87688e85508525108518a7d2bb651bf5d55893
FLGT,2025-05-02T16:05:00+00:00,"Transcript : Fulgent Genetics, Inc., Q1 2025 Earnings Call, May 02, 2025",Finnhub,https://finnhub.io/api/news?id=c92dd36219952b80efbdba88b85c14e6f5c872c0bfefeca6ee23f4d0d9ea3da7
FLGT,2025-05-02T12:27:09+00:00,"Fulgent Genetics, Inc. (FLGT) Q1 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=bdc8a15263304ef12c91289e19517c3b1e20a567cc8a1b95dc3745384503e87d
FLGT,2025-05-02T12:10:02+00:00,"Fulgent Genetics, Inc. (FLGT) Q1 Earnings and Revenues Beat Estimates",Yahoo,https://finnhub.io/api/news?id=ae51c9d197e47c0f4266c5fedb6a330e1ea83a01ed572a13fc31fe0ed82a40ce
FLGT,2025-05-02T11:00:00+00:00,Fulgent Reports First Quarter 2025 Financial Results,Yahoo,https://finnhub.io/api/news?id=c6abbd4ec94d912ed677c0f0b9cd1564f1e3b1fe40619301c1ea539e8cf2462d
FLGT,2025-05-02T08:39:55+00:00,Fulgent Genetics : Investor Presentation PDF,Finnhub,https://finnhub.io/api/news?id=f2ef2ede0f357089bde84971b5ce7a672b5f751dc0aad0b63757b6c40c31869e
FLGT,2025-04-21T20:37:12+00:00,Fulgent Genetics Inc (FLGT) Q4 2024 Earnings Call Highlights: Strong Revenue Growth Amid ...,Yahoo,https://finnhub.io/api/news?id=f1af1e0d1eca4c6cb23f32effa64f3b782c73c912760550cd17fb65d737fcdc2
FLGT,2025-04-11T11:30:17+00:00,Fulgent Genetics (NASDAQ:FLGT) shareholders have endured a 69% loss from investing in the stock three years ago,Yahoo,https://finnhub.io/api/news?id=0e0a767c1b9542889af7b514b0dc5d42590898692813f727a1bd94923b37a1da
FLGT,2025-04-10T20:05:00+00:00,"Fulgent to Announce First Quarter 2025 Financial Results on Friday, May 2, 2025",Yahoo,https://finnhub.io/api/news?id=e2427b6eb51c8e4c9c0bc35e337e0a54075d0883e797fd5b9ccb6a8f0fa2d4ea
