ticker,published_utc,title,publisher,url
GE,2025-11-12T15:07:00+00:00,What TransDigm Earnings Say About a Booming Aerospace Sector. Outlook Surprises.,Yahoo,https://finnhub.io/api/news?id=5234eab9214061997eb2e75142d64f5c160b8e6c049050c4fe3053aae162d945
GE,2025-11-12T14:00:05+00:00,GE Aerospace (GE) is Attracting Investor Attention: Here is What You Should Know,Yahoo,https://finnhub.io/api/news?id=fecab34302cb8c99f7e99c06f7414afb4a388ae97c10814668166ab52ffc4747
GE,2025-11-12T13:08:21+00:00,"Dow Jones Futures Rise; Palantir, Eli Lilly Lead Six Stocks In Buy Zones",Yahoo,https://finnhub.io/api/news?id=72a0c05feab4e1d3a6e253f1e094147e77b54fd50a82fb09ffbf117d1dcfb9aa
GE,2025-11-12T13:00:05+00:00,"Breakout Watch: Defense Stock Targets Buy Point, Joins GE Aerospace On This Screen",Yahoo,https://finnhub.io/api/news?id=ccfa37e8166c767e806bfa155980fb3d69e8423e2f96fadd22ee3d9bf121ed3f
GE,2025-11-12T13:00:00+00:00,Vesper Company Hires Ravdeep Chanana as Partner,Yahoo,https://finnhub.io/api/news?id=b6df4ca779f2e1d027406899e0f8c46a6f92a0a44c14d72d559f591a5462d0ae
GE,2025-11-11T11:41:32+00:00,General Electric Company (GE) Presents at Baird 55th Annual Global Industrial Conference Transcript,SeekingAlpha,https://finnhub.io/api/news?id=71c4ff44d0d0b59b9f7e7eb766aeab7ff14d1951fa902545538c5f6c06d347a3
GE,2025-11-11T10:11:07+00:00,Airlines warn flight cancellations will continue even after shutdown ends,CNBC,https://finnhub.io/api/news?id=e3ef8e0c83fcb194bceba14fc2dd11234310b0807f5bc3a90e79439ec771936f
GE,2025-11-11T03:14:59+00:00,General Electric (GE): Assessing Valuation as Shares Extend Recent Gains,Yahoo,https://finnhub.io/api/news?id=3c85d322ff06c4d251255daf22ab8b3ac847eccfcfd7016602ad330c3916f6c1
GE,2025-11-10T13:00:00+00:00,StandardAero Breaks Ground On Winnipeg Facility Expansion,Yahoo,https://finnhub.io/api/news?id=51deb1f70980669c878238fc5caed5bfed9db579d28192ad47e7782f7f528218
GE,2025-11-10T04:33:12+00:00,3 Quality Compounders for Long-Term Investors,Yahoo,https://finnhub.io/api/news?id=8b0d6a952a47aaa075d54bdb7b399a24a9cd5c6ba4882ec055f46a3825962bfa
GE,2025-11-08T22:08:00+00:00,UPS Grounds MD-11 Fleet After Kentucky Cargo Jet Crash. What to Know.,Yahoo,https://finnhub.io/api/news?id=e5a2ef2d2d5cbba6e8c94a65e123974b2a2c4bca9a03cb0a526b7e1e9e98211f
GE,2025-11-08T04:06:56+00:00,Jim Cramer on GE Aerospace: “It Produced Bountiful Gains for Anyone Who Believed”,Yahoo,https://finnhub.io/api/news?id=2700489ebc53d4b62d1f679e6f734bc4e7c7a9eb21c6d7ddb52c218010313237
GE,2025-11-07T19:11:48+00:00,BETA Technologies (BETA): Assessing Valuation After Billion-Dollar IPO and High-Profile Investor Backing,Yahoo,https://finnhub.io/api/news?id=1c372e29683aecfeac6ec3fabd7ac06b572c6eef1847de4778d6d609d8d16f34
GE,2025-11-07T18:18:03+00:00,I’m Watching For This Upcoming IPO After The Company Replaced Chinese Manufacturing,Yahoo,https://finnhub.io/api/news?id=86af03b8b4769ab707adfb6eadcaf2d29a3aa29c056adc43a54ab9e360c7d0e3
GE,2025-11-07T14:12:16+00:00,How the Story for GE Is Changing as Analysts Boost Their Outlook and Reassess Risks,Yahoo,https://finnhub.io/api/news?id=03c5b43db7f8f070e7d70ac7cb9bd8b8999b58ec54487798d2b5779d35662228
GE,2025-11-07T09:40:23+00:00,CFOs On the Move: Week ending Nov. 6,Yahoo,https://finnhub.io/api/news?id=274d491e6270778aa83407f04572a1fa85a580eba07b4e49dc60a81232700755
GE,2025-11-06T16:44:00+00:00,Dr. Judith Hartmann to Become New Chief Financial Officer of Bayer AG,Yahoo,https://finnhub.io/api/news?id=f646a42f78f1d58feedf168d85727420d9bb4e0ecc1364bb4b78202aba65cf00
GE,2025-11-06T16:09:07+00:00,Kratos and GE Aerospace (GE) Push Forward with GEK800 Engine Testing,Yahoo,https://finnhub.io/api/news?id=2671f835bd05d8c78ac5acefc45b4dd867da683f301617f5d830300b643e78d5
GE,2025-11-06T14:21:00+00:00,From Dividends to Growth: Why These 3 Stocks Stand Out in 2025,Yahoo,https://finnhub.io/api/news?id=184e788867f69b401d2c3bbfaf33448b510317e73d387e8e59b820fd014579a4
GE,2025-11-06T13:00:00+00:00,"StandardAero Delivers 1,000th J85-5 Engine to U.S. Air Force",Yahoo,https://finnhub.io/api/news?id=e94de4aeec64c43893245aecdf6e2a969f2effa0be07c4d48906e577d0038f36
GE,2025-11-06T04:32:47+00:00,2 Growth Stocks to Add to Your Roster and 1 We Brush Off,Yahoo,https://finnhub.io/api/news?id=e62b5d92032ae10bdf97eca4c97238b0323491736440835d8dff14cd969c0427
GE,2025-11-05T18:17:09+00:00,3 Growth Stocks to Add to Your Roster,Yahoo,https://finnhub.io/api/news?id=c8d4375af960171b970c59282add8ceb46b421d5f9c9db9be967c41ce9d14ae5
GE,2025-11-05T17:04:02+00:00,"AppLovin Sets Up As Google, GE Lead Eclectic Breakout Brigade",Yahoo,https://finnhub.io/api/news?id=e01ccb4fbf99ac2f80c8a027aef96df8a90349a3c8e725abbf057db476e87810
GE,2025-11-05T15:07:00+00:00,"The Zacks Analyst Blog Highlights GE Aerospace, Cisco Systems, and HSBC Holdings",Yahoo,https://finnhub.io/api/news?id=5ac00aab4cd7c72482fd084c82832021d5220827f0ab70c6d0299109ad244e01
GE,2025-11-05T13:01:00+00:00,GE Aerospace and Shield AI to Collaborate on Propulsion for X-BAT Vehicle Program,Yahoo,https://finnhub.io/api/news?id=ef005e8aa034172d209d5c9aacc91fa074a9f9baf8cd75cd03b6647ae2531bb4
GE,2025-11-05T10:08:45+00:00,How Strong Q3 Results and GEK800 Engine Milestone May Influence Kratos (KTOS) Growth Trajectory,Yahoo,https://finnhub.io/api/news?id=2d1ade4187f6003abd3b20bef7c82c1253a9ab4a4c8857ed3bbb1ba4615c8762
GE,2025-11-05T08:38:04+00:00,Are Wall Street Analysts Predicting GE Aerospace Stock Will Climb or Sink?,Yahoo,https://finnhub.io/api/news?id=5dc5315b670bf178ce2d97ca7946e82ace8dcd124e030c6a064b03e7b81f25fe
GE,2025-11-04T21:20:00+00:00,"Top Analyst Reports for GE Aerospace, Cisco & HSBC",Yahoo,https://finnhub.io/api/news?id=789f1186241a3e3da734d22c31b3d2032e9d78ca1c0342656ac668a3a919f08d
GE,2025-11-04T14:12:44+00:00,Amazon-backed eVTOL company Beta Technologies closes up nearly 6% in NYSE debut,CNBC,https://finnhub.io/api/news?id=53a9e27cec0f90179b44cab3f35056af18dcc60aa6e9b04f11bf6d32a4ecaca5
GE,2025-11-04T11:18:00+00:00,"AB Foods Mulls Separation of Primark, Food Businesses",Yahoo,https://finnhub.io/api/news?id=edc3ae66f63254087fc776e39de20381e94ff6d7e59c7ce3c717e6f6f071bfd6
GE,2025-11-04T08:02:00+00:00,Prediction: This Unstoppable Stock Will Join Nvidia and Apple in the $4 Trillion Club Before 2029,Yahoo,https://finnhub.io/api/news?id=d6efe212ae6560dbd2ef1b4268299415b6d92b544090cb960bc0d1949e253d9b
