ticker,published_utc,title,publisher,url
GES,2025-11-12T13:03:44+00:00,"Buckle: Strong Margins And Stable Balance Sheet, But Limited Future Catalysts",SeekingAlpha,https://finnhub.io/api/news?id=ce30dba26c38d914fe256cb5dbeb04819667d578ecc5c03de793d23ba6ff48d1
GES,2025-11-12T05:55:00+00:00,A Sampling Of Dividend Decreases In 2025,SeekingAlpha,https://finnhub.io/api/news?id=2b9b1ff9baa822d08988c0522db9048c424c2d9ebec91761ee0399de29c1f43e
GES,2025-10-27T17:36:00+00:00,"Carter's Q3 Earnings Miss Estimates, U.S. Retail Sales Up Y/Y",Yahoo,https://finnhub.io/api/news?id=cd8a1a2cc4d1efd126b53ede41bbce979013aff80814ac3c8062d73ef0f0bd1a
GES,2025-10-23T14:00:00+00:00,Best Momentum Stocks to Buy for Oct. 23,Yahoo,https://finnhub.io/api/news?id=072cb423c6ae3adf39f90cbe24f053fc9b58c9e2a11358ba7150a40020feaaec
GES,2025-10-23T13:40:01+00:00,Is Guess (GES) Stock Outpacing Its Consumer Discretionary Peers This Year?,Yahoo,https://finnhub.io/api/news?id=db87da2ceb2f8177b523275e5ebf727108bc92152fe88a0c01480b4c756f2dbb
GES,2025-10-23T11:05:00+00:00,"New Strong Buy Stocks for Oct. 23: MQ, GES and More",Yahoo,https://finnhub.io/api/news?id=b0df9ea9255caaca49b4dc5261d4846eb3c27bbec35ae69487578b385b394fd2
GES,2025-10-23T08:41:00+00:00,Best Income Stocks to Buy for Oct. 23,Yahoo,https://finnhub.io/api/news?id=61ad8d40e4c5faf09fd3a4e8357e9843363396383272ac483ebd11c6b1cc0bbf
GES,2025-10-21T13:15:02+00:00,"Ralph Lauren Corporation (RL) Hit a 52 Week High, Can the Run Continue?",Yahoo,https://finnhub.io/api/news?id=2f3c733d7b764a2078d7b768d535c60dfef67374c2913903cf5ad4900f09590d
GES,2025-10-21T04:31:35+00:00,1 Small-Cap Stock to Consider Right Now and 2 We Question,Yahoo,https://finnhub.io/api/news?id=fdb6d12f32269f82e18fe6e3abd7bab64688f97018c5132a91f0ae739b8c68fd
GES,2025-10-20T13:40:04+00:00,Should Value Investors Buy Guess (GES) Stock?,Yahoo,https://finnhub.io/api/news?id=5646d8d688b95547c913cc8d62ec9209220f858b6b43a71f5251fa3816bedbf4
GES,2025-10-17T14:28:00+00:00,"WHR Expands U.S. Laundry Manufacturing Facility, Initiatives on Track",Yahoo,https://finnhub.io/api/news?id=8b8313a711bf7e23ead47c2d0b098e534361f3b6fd7456a2935f5ac6448cf505
GES,2025-10-16T16:40:00+00:00,"Snap-on's Q3 Earnings Beat Estimates, Organic Sales Rise 3%",Yahoo,https://finnhub.io/api/news?id=59408ca8db008cb10597caea7d1c74bfbac2300c2af1aab990d4c35258ddc96d
GES,2025-10-15T13:13:00+00:00,Best Value Stock to Buy for Oct. 15th,Yahoo,https://finnhub.io/api/news?id=f29c9efb765df9749909d75c40f896c0844ecceac5ace2f81f0f488b60742d73
