ticker,published_utc,title,publisher,url
GPI,2025-11-13T00:03:57+00:00,Barclays Initiates Coverage of Group 1 Automotive (GPI) with Overweight Recommendation,Fintel,https://finnhub.io/api/news?id=de21fe3d5173c882079b008b24c568be5ba5380372fb19d6f6f8e7f6a838f761
GPI,2025-11-12T16:16:29+00:00,RWJ: Simplicity Keeps Outperforming In The Small Cap Area,SeekingAlpha,https://finnhub.io/api/news?id=7984503a8fdccd5da753621d009698ea18b136ebe47aa182513383d5d31790a6
GPI,2025-11-10T18:38:19+00:00,Group 1 Automotive's (NYSE:GPI) Soft Earnings Are Actually Better Than They Appear,Yahoo,https://finnhub.io/api/news?id=1b404b18adc76b52adc7ab0e1c7837725e0d00cd116f62830280aa1845af5467
GPI,2025-11-07T08:00:00+00:00,"Penske, Group 1 hoping for luxury-car bonanza at year’s end",Yahoo,https://finnhub.io/api/news?id=7a1441dad9a8129ee84f554568fe4e96c6c55b998b1453524a6fa69ccec13855
GPI,2025-10-29T14:50:00+00:00,"Group 1 Q3 Earnings Miss Estimates, Revenues Increase Y/Y",Yahoo,https://finnhub.io/api/news?id=3d29a52c6636f8aaf9dbf8e4e47cfaaf4d49b87fd97d0dc44e079387d1399c21
GPI,2025-10-29T08:14:50+00:00,Group 1 Automotive (GPI): Exploring Current Valuation After Recent Share Price Volatility,Yahoo,https://finnhub.io/api/news?id=b889c9b494e870b85e68885cb13a09d0fbe9b6b7417734df7d1aaf587148a5d1
GPI,2025-10-28T16:01:02+00:00,"Group 1 Automotive, Inc. 2025 Q3 - Results - Earnings Call Presentation",SeekingAlpha,https://finnhub.io/api/news?id=f941d0e9373f219fd2cc42591e1aec27f2e56054eaa97445d9ddc9d20234d7db
GPI,2025-10-28T14:31:52+00:00,"Group 1 Automotive, Inc. (GPI) Q3 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=98c108de48d5fc705206abbff05c373fcb4fdc651d5f62b6cfc947b040baf4dd
GPI,2025-10-28T13:30:04+00:00,Here's What Key Metrics Tell Us About Group 1 Automotive (GPI) Q3 Earnings,Yahoo,https://finnhub.io/api/news?id=5c8a79311297689dd1cffbe499a1e4dd52c23763b4277e75ff624823322d56d6
GPI,2025-10-28T11:05:02+00:00,Group 1 Automotive (GPI) Misses Q3 Earnings Estimates,Yahoo,https://finnhub.io/api/news?id=576a61c9018cd5188855bf548f096f95546997f317ca3f25eb788acfabc3f197
GPI,2025-10-28T09:11:36+00:00,Group 1 Automotive: Q3 Earnings Snapshot,Yahoo,https://finnhub.io/api/news?id=47877ba1491b09e31a6a3f89dc218fb88e3f6274ad7f7084fcacd39ececcde31
GPI,2025-10-28T09:01:00+00:00,Group 1 Automotive Reports Third Quarter 2025 Financial Results,Yahoo,https://finnhub.io/api/news?id=43420407e84cd120317fc07c011d672f355f311a28ceb8c94eaba4c8c19d8635
GPI,2025-10-24T13:40:02+00:00,Here's Why Group 1 Automotive (GPI) is a Strong Value Stock,Yahoo,https://finnhub.io/api/news?id=bd624242e9657d53ae432ef01024e945667241aef12808cb43a812a10ae51fbd
GPI,2025-10-23T11:55:02+00:00,Sonic Automotive (SAH) Q3 Earnings Lag Estimates,Yahoo,https://finnhub.io/api/news?id=f30ad6bdf76cfaccae23decfc61e5b2c08ec27b8ba6d36c939ee67e703d45ef9
GPI,2025-10-21T14:00:03+00:00,Group 1 Automotive (GPI) Reports Next Week: Wall Street Expects Earnings Growth,Yahoo,https://finnhub.io/api/news?id=7fbc72f9ecd4862094b11ccaaa8ca8ec9d55c285ef3b70819a4b439aaa7485f4
GPI,2025-10-15T16:10:05+00:00,Will Group 1 Automotive (GPI) Beat Estimates Again in Its Next Earnings Report?,Yahoo,https://finnhub.io/api/news?id=44bfaf9df1eb146997bffaed81f53798b510ba9319b8001af667700d63bd8d16
GPI,2025-10-15T03:07:48+00:00,A Fresh Look at Group 1 Automotive (GPI) Valuation After Recent Share Price Gains,Yahoo,https://finnhub.io/api/news?id=3e8ac785ff8cc16ba76cf11c7f3053c5a474d76e20fbf3f460d1cd5659865df0
GPI,2025-10-15T00:08:31+00:00,JP Morgan Maintains Group 1 Automotive (GPI) Neutral Recommendation,Fintel,https://finnhub.io/api/news?id=ded9859b524cf683f1b6bc7f728a7016a4476756ac17f860167b1a50e2694123
GPI,2025-10-13T21:02:00+00:00,Group 1 Automotive Schedules Release of Third Quarter 2025 Financial Results,Yahoo,https://finnhub.io/api/news?id=a97ee2fca9594b662784e723db3e25ebdd525b3ce1087ff75953932510c14ef2
GPI,2025-10-13T16:00:02+00:00,Group 1 Automotive (GPI) Upgraded to Buy: Here's What You Should Know,Yahoo,https://finnhub.io/api/news?id=a6e4b64067114f282f53f5ea7058dcfed0339e27c8ab3d215b88f4c4f92c2355
GPI,2025-10-13T13:40:05+00:00,Are Investors Undervaluing Group 1 Automotive (GPI) Right Now?,Yahoo,https://finnhub.io/api/news?id=5f5a8e64c0bd3522fe535f765ed8046323feb96510e91ed38c9a18ba66710223
GPI,2025-10-10T10:50:36+00:00,Group 1 Automotive: Finally Time To Temper Expectations (Downgrade),SeekingAlpha,https://finnhub.io/api/news?id=83f722d3acd565c0299f504e31d0e722e68fa6203cb1e60b51e4b5b8d7a5345e
GPI,2025-10-08T13:40:02+00:00,Why Group 1 Automotive (GPI) is a Top Value Stock for the Long-Term,Yahoo,https://finnhub.io/api/news?id=b880f9653cac1b20eddba6dc044af35541f8b0ec277bb597b4b9acefaa433f7c
GPI,2025-10-08T12:16:16+00:00,Here Are The Key Pillars Of Group 1 Automotive’s (GPI) Competitive Strength,Yahoo,https://finnhub.io/api/news?id=788bfb10cde8fec52c6706081f536a43074e06ad5b3a273f77a7dac81b75361e
GPI,2025-10-06T04:35:00+00:00,"Group 1 Automotive: A Resilient , Compounding Enterprise In A Highly Fragmented Industry",SeekingAlpha,https://finnhub.io/api/news?id=da9e75cc6f8b4316ba6e1e801c16b18d4b603b6c75e30574803c3c0e4e1ef568
GPI,2025-10-03T10:42:16+00:00,"Group 1 Automotive, Inc.'s (NYSE:GPI) Intrinsic Value Is Potentially 18% Below Its Share Price",Yahoo,https://finnhub.io/api/news?id=723adc53e7951e6f79e2687ec0c7e3cf2642a4126b6e68dafe096fb9adca5db0
GPI,2025-09-15T14:50:02+00:00,Here's Why Group 1 Automotive (GPI) is a Strong Momentum Stock,Yahoo,https://finnhub.io/api/news?id=15a1c02892991f0bf3589cb464cf3e9d1cb67834440d2ad91807cbbcfa9ce044
GPI,2025-09-12T17:48:21+00:00,Those who invested in Group 1 Automotive (NYSE:GPI) five years ago are up 448%,Yahoo,https://finnhub.io/api/news?id=9befe3c5362a81e863aadb9d1bfbabaa1156c4d2162d2a73f886f08a3394717b
GPI,2025-09-05T14:03:00+00:00,"Copart Q4 Earnings Surpass Estimates, Revenues Increase Y/Y",Yahoo,https://finnhub.io/api/news?id=77e66fa5bf80380bedda41fd480a6fe44d8f6964882aaa83e1d96c474603c16d
GPI,2025-09-04T18:14:22+00:00,What Does Wall Street Think About Group 1 Automotive (GPI)?,Yahoo,https://finnhub.io/api/news?id=6ab150369104e2d6ac5945509b8749049e5f8e42a70cd40ea765e71e40f3b99e
GPI,2025-09-01T13:21:42+00:00,Here’s Why Group 1 Automotive (GPI) Rose in Q2,Yahoo,https://finnhub.io/api/news?id=51476326dc54018392835db9409fe97dbc1cbea1a25539102215b94d43dd8f35
GPI,2025-08-28T14:05:00+00:00,HR professionals on the move in August,Yahoo,https://finnhub.io/api/news?id=14d1718e1da05a9ecb2fd449a4745cc0c112a1347a81064a239ac9d4d894484a
GPI,2025-08-25T15:19:00+00:00,Can Carvana Deliver 40% CAGR in Unit Sales Over the Next 5 Years?,Yahoo,https://finnhub.io/api/news?id=7325058968f62351bb47dea7b1640257dbbe9a429a53a7be45829c072c3d64db
GPI,2025-08-23T10:06:51+00:00,Evaluating Group 1 Automotive’s (GPI) Valuation Following Innovative Mercedes-Benz Dealership Launch and Dividend Reaffirmation,Yahoo,https://finnhub.io/api/news?id=e27fe3972db01fba1f5cf2abe00999b271119bcc7c8b6e3cc15db7a18a30931c
