ticker,published_utc,title,publisher,url
H,2025-11-12T14:00:27+00:00,"Hyatt: I Like Its Strategic Market Focus, But It's Still Quite Pricey",SeekingAlpha,https://finnhub.io/api/news?id=fb4b5a5ad98fb5c3e0095fe26d92727db85941a0069fd650c9923c9163d490ff
H,2025-11-12T09:39:55+00:00,Hyatt bets on India’s weddings and religious tourism boom,Yahoo,https://finnhub.io/api/news?id=7875a95621568c3f70901ece6e8e28b3c155cc80b94ae5b069177cb32827ac39
H,2025-11-10T15:15:33+00:00,Brian Chesky says Airbnb’s successful IPO was ‘one of the saddest periods’ of his life—then Barack Obama gave him one piece of advice,Yahoo,https://finnhub.io/api/news?id=992a1ee9137e3dd1a2577680ab40472a7b1c4ba1f7eeeae7130a8985f0ec879c
H,2025-11-09T18:08:34+00:00,Hyatt Hotels Corporation 2025 Q3 - Results - Earnings Call Presentation,SeekingAlpha,https://finnhub.io/api/news?id=6aa0b6c3e514f796f714fe379bc801bebc8ee2535a6e01917b9ad7ba8d7243e1
H,2025-11-07T17:35:58+00:00,3 Growth Companies Insiders Own Up To 33%,Yahoo,https://finnhub.io/api/news?id=c286721a6c73730654b2359095083447c77a16fea54322508f5b2a6e08e0f0ab
H,2025-11-07T11:39:13+00:00,Hyatt reports Q3 2025 RevPAR growth amid net loss,Yahoo,https://finnhub.io/api/news?id=50e68483c81f6ff4712216720ba25268232743a28f8d42a7aa83db68321ea8e4
H,2025-11-07T11:35:43+00:00,3 Growth Companies With High Insider Ownership Seeing Earnings Up To 105%,Yahoo,https://finnhub.io/api/news?id=146592edf6b12fdd3208f20dc30d66b30fec2de68a858405aeab9475d89aade9
H,2025-11-07T09:56:09+00:00,Hyatt Hotels Corporation (H) Q3 2025 Earnings Call Transcript,SeekingAlpha,https://finnhub.io/api/news?id=7928f96d86f366e14cff515c732547d1aa34d3a25e3aeaa02c74c4f891dbdd51
H,2025-11-06T21:20:15+00:00,Hyatt Hotels Corp (H) Q3 2025 Earnings Call Highlights: Strong Net Rooms Growth and Expanding ...,Yahoo,https://finnhub.io/api/news?id=58876d7665df7ddbc932c428c58e7773ab20e68f8f008c792153f117b39f4f6c
H,2025-11-06T16:36:00+00:00,"Hyatt Q3 Earnings & Revenues Miss Estimates, RevPAR Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=e6961e1aa302260a1b5eb1616528b36edef9c802c1ee42fcc15799b7d0e63fb3
H,2025-11-06T14:30:10+00:00,"Compared to Estimates, Hyatt Hotels (H) Q3 Earnings: A Look at Key Metrics",Yahoo,https://finnhub.io/api/news?id=2fbe39cf525f0be961c9aaabd0e1572e78b4bf7e18ffa486e40c0fa872b806c7
H,2025-11-06T14:14:46+00:00,Hyatt Hotels (NYSE:H) Misses Q3 Sales Expectations,Yahoo,https://finnhub.io/api/news?id=3780f5f7b51953ec896273924b8ee84b7e14caffb92e273e230ca0192a45c9bf
H,2025-11-06T13:05:03+00:00,"Hyatt Hotels (H) Reports Q3 Loss, Misses Revenue Estimates",Yahoo,https://finnhub.io/api/news?id=d1959c82bfecb9346f4423f8f471e1d1619f22c836622bbebf96d47f0c5669a4
H,2025-11-06T12:07:25+00:00,Hyatt Hotels: Q3 Earnings Snapshot,Yahoo,https://finnhub.io/api/news?id=67f5ab47e564d05bc9e5b7a3bfcdc460d1a04ecb1f41efd6dc4a1dc882f15f74
H,2025-11-06T11:55:00+00:00,Hyatt Reports Third Quarter 2025 Results,Yahoo,https://finnhub.io/api/news?id=1bba25acee94f51dfa05845b644cfdb4227c2b4639712de38c6045e6ef918998
H,2025-11-06T11:11:22+00:00,Hyatt ‘confident’ as luxury drives Q3 RevPAR growth,Yahoo,https://finnhub.io/api/news?id=00a16b8e6f447c2361d31fae4bccdf4f97f8845e554c4968b3cf05c5750b6adb
H,2025-11-05T21:30:00+00:00,Hyatt and Chase Expand their Collaboration as World of Hyatt Loyalty Program Continues Industry-Leading Growth,Yahoo,https://finnhub.io/api/news?id=b322b2c3c8458bc22b9e00ddb34b16feb2f417d00d856fae8fab161f73846ce1
H,2025-11-05T17:16:00+00:00,Hyatt to Report Q3 Earnings: What's in Store for the Stock?,Yahoo,https://finnhub.io/api/news?id=141fd5ae86e521ee2a9c567f6aa08478d69b870a92afd9e3250bd2ad26be7203
H,2025-11-05T14:15:08+00:00,Seeking Clues to Hyatt Hotels (H) Q3 Earnings? A Peek Into Wall Street Projections for Key Metrics,Yahoo,https://finnhub.io/api/news?id=133d67f82332c1d3fef590987f8a7e579cc08ba14983089079ab56673a1d7b59
H,2025-11-05T03:06:27+00:00,Hyatt Hotels (H) Q3 Earnings Report Preview: What To Look For,Yahoo,https://finnhub.io/api/news?id=b2249018ed1e2e6d636d8b5767ea1c4a6b7d8172a88b278b30f9b7093f2518f7
H,2025-11-04T21:15:26+00:00,Does Hyatt Stock Offer Value After 8% Drop and Bold Expansion Moves?,Yahoo,https://finnhub.io/api/news?id=cbfd0b2ac7c33f625cec541e3f9bb6b2eda2c0c0c54cbacfd4c1389711aaff78
H,2025-11-03T04:31:21+00:00,1 Volatile Stock on Our Buy List and 2 We Turn Down,Yahoo,https://finnhub.io/api/news?id=85c236662427497e5351d7883f6aaaae6761bb40c11af3144dcb39aabdd79d80
H,2025-10-30T16:19:00+00:00,"Elysium Spa & Wellness House Debuts at Hotel La Compañía del Valle, part of The Unbound Collection by Hyatt",Yahoo,https://finnhub.io/api/news?id=f719f59bdeb73ab5610800ff7c27ba6f2cd0cc9bdb202b8f852db4876e869868
H,2025-10-30T14:00:04+00:00,Earnings Preview: Hyatt Hotels (H) Q3 Earnings Expected to Decline,Yahoo,https://finnhub.io/api/news?id=314e44b9e2b5c17836a059a5c2deb9c8f93d66c0ec9fb827bfa609a8be35060d
H,2025-10-30T12:45:02+00:00,Hilton Grand Vacations (HGV) Q3 Earnings and Revenues Miss Estimates,Yahoo,https://finnhub.io/api/news?id=d51898d78c9140326ac75f8e6b0347cbe22a17f5b7bd78fa08fe01a5a51619bb
H,2025-10-30T12:40:00+00:00,"India Hospitality Forecast and Competitive Landscape Report 2025: A $798.95 Billion Market by 2033 Featuring Oberoi, ITC, The Park Hotel, Leela, Taj Hotels, Lemon Tree, Hyatt, Marriott, Radisson, OYO",Yahoo,https://finnhub.io/api/news?id=274ac6e1aaa43d24982538bcd98f871d48701655b37f4f7a984e474ddda13371
H,2025-10-28T04:04:11+00:00,3 Reasons to Sell H and 1 Stock to Buy Instead,Yahoo,https://finnhub.io/api/news?id=55a78b1eb2c294f8b71c9197f7e2725263400e01c4b5247d9250fcaf674a9f55
H,2025-10-27T19:36:40+00:00,Morgan Stanley Backs Hyatt As Luxury Travel Holds Up,Yahoo,https://finnhub.io/api/news?id=8d150e4b8e0b75b53eec6fe1a2e6c25fb49a1337b5ec0134d21045e0ef66ad2c
H,2025-10-27T10:30:00+00:00,Hyatt Launches a New World of Hyatt Campaign in India with Bollywood Actor Karisma Kapoor,Yahoo,https://finnhub.io/api/news?id=ebf0271e8fddb0a36b03d70b5c5ce512033d184e295883d7cd46d4066bbf2981
H,2025-10-23T09:19:24+00:00,New agreement reached to launch Hyatt Studios hotels in China,Yahoo,https://finnhub.io/api/news?id=e7b8386d15bf29786643afd0f220e909742a873c3d8fdc0ce16f438e86919e15
H,2025-10-23T08:08:10+00:00,Should Hyatt’s (H) Major Franchise Deal in China Prompt a Closer Look From Investors?,Yahoo,https://finnhub.io/api/news?id=ec95f5567552bd5af5b1b48a3ae83ccc3914446b315f08bd1ee75115107ec3bf
