ticker,published_utc,title,publisher,url
HYLN,2025-11-12T15:11:36+00:00,Hyliion Holdings Corp. (HYLN) Q3 2025 Earnings Call Transcript,SeekingAlpha,https://finnhub.io/api/news?id=4a067e3bb3c50e31dac77aafc20a4329453fde45a4b22b8f605ddc88681d28b5
HYLN,2025-11-12T11:31:10+00:00,Hyliion Holdings Corp. 2025 Q3 - Results - Earnings Call Presentation,SeekingAlpha,https://finnhub.io/api/news?id=554ed5af84fcc23de7d1e0b8d5f4391b1934833039f7f4708c9a21d07a8c380d
HYLN,2025-11-10T09:57:10+00:00,EV Company News For The Month Of October 2025,SeekingAlpha,https://finnhub.io/api/news?id=39ce8edbee5b064daedda61b9ade00faf60796a6ec295b98623b46454f8f0b27
HYLN,2025-10-29T20:30:00+00:00,"Hyliion Holdings Schedules Q3 2025 Financial Results Conference Call and Webcast for November 12, 2025",Yahoo,https://finnhub.io/api/news?id=95795693d9bbcb1a49ef6b9d9d6d9d3e22df19258ee35c40ef8eae1145b35f47
HYLN,2025-10-29T12:30:00+00:00,Hyliion Achieves 100 Days of Reliable Operation with KARNO™ Power Module on Customer Asset,Yahoo,https://finnhub.io/api/news?id=793e8ff7d846b6c4b08ed8435275006a674b10697925995b4f001e6974ea5cd1
HYLN,2025-10-27T12:10:19+00:00,October 2025's Top Penny Stocks To Watch,Yahoo,https://finnhub.io/api/news?id=804922b5d1c75d131d6ae5926f222bc74ef9e9c8cefdc00500cd14d0b7e2cc69
HYLN,2025-10-22T12:30:00+00:00,Hyliion Achieves Major Milestone With Successful Emission Testing of KARNO™ Power Module,Yahoo,https://finnhub.io/api/news?id=d4420c5e3f1e56c5613194b619ce5e6f77896d219cac05b613b50a3fc567160f
HYLN,2025-10-09T02:31:39+00:00,EV Company News For The Month Of September 2025,SeekingAlpha,https://finnhub.io/api/news?id=c3886b2713d7981f35fc5c00ff61fa9ddb7061f50075327c7d95196740abf77f
HYLN,2025-09-17T14:30:00+00:00,Hyliion Appoints New Vice President of Operations to Drive Manufacturing of the KARNO Power Module,Yahoo,https://finnhub.io/api/news?id=af4413f73efc54af2ae6183cb4facfbcc3b715dd914c0397baba2c910fe8836f
HYLN,2025-09-17T13:05:15+00:00,3 Penny Stocks With Market Caps Under $2B To Consider,Yahoo,https://finnhub.io/api/news?id=7d4d1bb04dfb10130cab6e3c13d3eb946c1c74b83b4755683b1efd43df3c609b
HYLN,2025-09-16T14:15:00+00:00,Hyliion Receives EPA Confirmation on KARNO™ Power Module Regulatory Pathway,Yahoo,https://finnhub.io/api/news?id=ffc9733f56f9c68563197d3b7639d4ce452d279a67dc2b97bd755d284b61d43e
