ticker,published_utc,title,publisher,url
INMD,2025-11-05T12:51:18+00:00,InMode Ltd. (INMD) Q3 2025 Earnings Call Transcript,SeekingAlpha,https://finnhub.io/api/news?id=cf0708ae5f85a5675bca08b8fc0d3dcd2b11d922e9a7b03e32bd284213aff972
INMD,2025-10-27T14:07:38+00:00,InMode: Discounted Valuation & Strong Fundamentals Make It A Buy,SeekingAlpha,https://finnhub.io/api/news?id=ceeb48b8344045f38d5759890630d7bec9bc9213fa4f0a095ec491d2fe232cc0
INMD,2025-09-16T11:03:18+00:00,Did DOMA Perpetual’s Push for Major Buybacks Just Shift InMode’s (INMD) Investment Narrative?,Yahoo,https://finnhub.io/api/news?id=cc262aea9bc65dc9528ad1893754b1a1413261930301a6ad05ab22bfa62221af
INMD,2025-09-13T12:40:21+00:00,Assessing InMode (INMD) Valuation as Shareholder Activism Escalates Over Buyback Push,Yahoo,https://finnhub.io/api/news?id=89fc46268d43c6c36eae2f0d09468ef4f5f0687369a69916d7e75d2cd57b1aeb
INMD,2025-09-09T12:15:00+00:00,DOMA Perpetual Sends Letter Urging Board of Directors of InMode Ltd. to Return Capital to the Shareholders,Yahoo,https://finnhub.io/api/news?id=843bb66ef5b371ae4d37ea706e3dea9859119842fe9c674fa75e786769971744
INMD,2025-09-03T15:34:00+00:00,Do Options Traders Know Something About InMode Stock We Don't?,Yahoo,https://finnhub.io/api/news?id=e7016093ee03e5e856d5a5d721212ad92f581b2bfdde0528b8bcb7be21d396fe
INMD,2025-09-02T12:30:00+00:00,InMode to Present at Baird 2025 Global Healthcare Conference,Yahoo,https://finnhub.io/api/news?id=13992310f8e48f00fde8f3191ae9ab4342fd3f8519633f2b03884fe6b7998ce2
INMD,2025-08-17T13:32:11+00:00,InMode Ltd.'s (NASDAQ:INMD) Stock Been Rising: Are Strong Financials Guiding The Market?,Yahoo,https://finnhub.io/api/news?id=f3f34d5d4c8ab93f49d78d7c1722161c7cf500a92c5f5768364bf55933e914a0
INMD,2025-08-12T10:29:25+00:00,"International Growth May Drive InMode's Come-Back, But Not Just Yet (Hold For Now)",SeekingAlpha,https://finnhub.io/api/news?id=675444b6188e9ce7e007f33ec98758518cba02e8d277620fae6a26f6fb8dfa53
INMD,2025-08-05T12:30:00+00:00,InMode to Participate in Upcoming Investor Conferences,Yahoo,https://finnhub.io/api/news?id=afe3e653e6cdbc507b6d6d31e4243d97a5384d2bd3e05130237c24f9f88f53f4
INMD,2025-07-30T15:22:16+00:00,InMode Ltd. (INMD) Q2 2025 Earnings Call Transcript,SeekingAlpha,https://finnhub.io/api/news?id=05a4cf75a3db5e0568c8f3759717300793dbce7a5c06a5927049caf47e09b688
INMD,2025-07-30T11:08:35+00:00,InMode: Q2 Earnings Snapshot,Yahoo,https://finnhub.io/api/news?id=931e7b821b3080d52b98dae54be40da44972800c696e752cc82fc9cb33a5edee
INMD,2025-07-30T11:00:00+00:00,"InMode Reports Second Quarter 2025 Financial Results: Quarterly Revenue of $95.6 Million, 80% Gross Margins",Yahoo,https://finnhub.io/api/news?id=3c61211d979260f57c3e75637a88adf7b55410c634910b48d8865bc25785b94c
INMD,2025-07-25T14:31:00+00:00,Are Options Traders Betting on a Big Move in InMode Stock?,Yahoo,https://finnhub.io/api/news?id=ad9e1a090b8ab6c144d357f7e1e6c3a1ca7487762d8e29828b5cf0ac130f9d4e
INMD,2025-07-23T14:00:29+00:00,InMode (INMD) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,Yahoo,https://finnhub.io/api/news?id=522d3836e60d71c923910d89f5599d986c28ebdfb04705d6a609f3652a2d94f7
INMD,2025-07-16T13:39:24+00:00,Canaccord Genuity Maintains a Hold Rating on InMode Ltd. (INMD),Yahoo,https://finnhub.io/api/news?id=7d1cc9ba3bebca8ff3b2cbcb70af633d4e7d9936c05a7426b518701629ee02f6
INMD,2025-07-12T08:08:45+00:00,"InMode: Margin Pressure, But Optionality Makes It Worth A Look",SeekingAlpha,https://finnhub.io/api/news?id=355c276ef09527cb9d816bb2c98e6bab5aed765acd790320efa9cec7849bcda9
INMD,2025-07-10T11:00:00+00:00,"InMode to Report Second Quarter 2025 Financial Results and Hold Conference Call on July 30, Expects Q2 Revenue Between $95.4M-$95.5M, Decreases Full Year 2025 Revenue Guidance to be Between $365M-$375M",Yahoo,https://finnhub.io/api/news?id=c8cac81b961276b93d60154f9d3497e155cd51a7cb50460288676e5d34df629b
INMD,2025-07-10T08:05:46+00:00,InMode Ltd. Revises Revenue Guidance for the Full Year 2025,Finnhub,https://finnhub.io/api/news?id=ba15bb690e38f907d9f1bffffdf5128d30f5d4af8bf5c42b5aed307cb95243a9
INMD,2025-07-10T07:50:19+00:00,Inmode Ltd. Provides Revenue Guidance for the Second Quarter of 2025,Finnhub,https://finnhub.io/api/news?id=c8cdc7e0872c711b274fa37611ce4059489692ddb45ef0ff86548d61766871c1
INMD,2025-07-05T14:42:05+00:00,Positive earnings growth hasn't been enough to get InMode (NASDAQ:INMD) shareholders a favorable return over the last three years,Yahoo,https://finnhub.io/api/news?id=03eb9c2ba97313f04a7dda23190579db4c5855b0e7d6eed7b698914e4326257a
INMD,2025-06-21T13:33:23+00:00,InMode Ltd. (NASDAQ:INMD) is largely controlled by institutional shareholders who own 72% of the company,Yahoo,https://finnhub.io/api/news?id=97da58f6b745b36870ddd35d711d0aad11a53db53a00987b869a0ba9c45fba17
INMD,2025-05-28T12:30:00+00:00,"InMode Response Letter to DOMA by Moshe Mizrahy, CEO, Dated May 28, 2025",Yahoo,https://finnhub.io/api/news?id=94646167645c8b44bb03fe282e3e83dbc97bc7a4c842942ab7bfe1bccc3d4f40
INMD,2025-05-24T12:27:16+00:00,Is There An Opportunity With InMode Ltd.'s (NASDAQ:INMD) 35% Undervaluation?,Yahoo,https://finnhub.io/api/news?id=0f2748f8d401678f0063f843af107b329dee204d422c3db7a5f90a401ae3f1d1
INMD,2025-05-20T13:17:00+00:00,InMode Announces Health Canada Certification of the IgniteRF Platform with the New QuantumRF Technology,Yahoo,https://finnhub.io/api/news?id=7add560fe137176ab81f59b3c8e353d9497caaa6a75e990782543df280577435
INMD,2025-05-16T17:01:21+00:00,Keys Med Spa Receives Morpheus8 Top Provider Award from Inmode,Finnhub,https://finnhub.io/api/news?id=0646b85f1fd40fc1e9332e5bb435c63f5887606648c3664e7d3e03dfdb049d11
INMD,2025-05-09T12:22:00+00:00,DOMA Perpetual Sends Letter Urging Board of Directors of InMode Ltd. to Resume Share Repurchase Program,Yahoo,https://finnhub.io/api/news?id=c49b055c240d2c7684ca81fc305e27204e24427801f862e2109e96f19d81b1e6
INMD,2025-05-09T08:26:13+00:00,Doma Perpetual Sends Letter To The Board Of Inmode To Resume Share Repurchase Program,Finnhub,https://finnhub.io/api/news?id=8c08217adc79e188d98a486599253d64098a5a9bc85f3e8ebf09d4bea49e6a0f
INMD,2025-05-07T12:30:00+00:00,InMode to Present at Upcoming Investor Conferences and Events,Yahoo,https://finnhub.io/api/news?id=a7c50ebeb5f139dd102a3411dba4b1571cca88efc2f8f7e17222adaa4d802db5
INMD,2025-05-06T18:24:46+00:00,We Think That There Are More Issues For InMode (NASDAQ:INMD) Than Just Sluggish Earnings,Yahoo,https://finnhub.io/api/news?id=a4adb1949960a06752b47081676ba24104a6f78dfbdc5c7bd498bfa2774cc61c
INMD,2025-05-06T12:03:00+00:00,InMode Granted Injunction Against Counterfeit Sales of Morpheus8 Radio Frequency Microneedling Devices and Needle Cartridges,Yahoo,https://finnhub.io/api/news?id=6fd3c084ae73959df857c8e4b83429eac44459e5115c00e0050be21f51b4f453
INMD,2025-04-30T10:32:38+00:00,InMode Ltd. Just Missed Earnings - But Analysts Have Updated Their Models,Yahoo,https://finnhub.io/api/news?id=f9e12910640cbe3cc8f0ad868c5e3f5dc6cbdc456b585d4b32697a0a43843c3f
INMD,2025-04-29T10:10:45+00:00,InMode First Quarter 2025 Earnings: EPS Misses Expectations,Yahoo,https://finnhub.io/api/news?id=2ada7d6766488ac2f94366d59531c92606bf033937d20b6118baae0a4fae1a82
INMD,2025-04-29T07:02:37+00:00,InMode Ltd (INMD) Q1 2025 Earnings Call Highlights: Navigating Challenges with Strategic ...,Yahoo,https://finnhub.io/api/news?id=f7a783a9f0c9431846ac56b8f8f9aa117580f89e2a73089aa4b8a5fc7d8119cb
INMD,2025-04-29T07:00:51+00:00,InMode Q1 Earnings: Short-Term Catalysts Have Vanished (Rating Downgrade),SeekingAlpha,https://finnhub.io/api/news?id=a62e69c58f544527b12edb3bb79a82c5c3a220cba0569d44c6cfbc01644cfd65
INMD,2025-04-29T01:52:07+00:00,"InMode: Equity Value Hinges On Cash, Not Future Prospects (Rating Downgrade)",SeekingAlpha,https://finnhub.io/api/news?id=9fadc64e639353dfc3b94893ae7a83a132783a3458c99f2d552c6b311b01877c
INMD,2025-04-28T12:25:02+00:00,InMode (INMD) Lags Q1 Earnings Estimates,Yahoo,https://finnhub.io/api/news?id=7ba740160f166d490ee33c5bc6bbdb49a8eb53eafbf090f4b2b5d13674bb7f0d
INMD,2025-04-28T11:53:48+00:00,InMode Ltd. (INMD) Q1 2025 Earnings Call Transcript,SeekingAlpha,https://finnhub.io/api/news?id=ec02c5b2ec6173dd36950f96e106806ac9c47d6e19d0e699fe6a1eb2c4729de8
