ticker,published_utc,title,publisher,url
LCID,2025-11-12T18:50:00+00:00,Short Interest Update,SeekingAlpha,https://finnhub.io/api/news?id=d59174b50f1fefb9a35ca8581c76ccf72ebd789964f5cd1ce92493fb138db22d
LCID,2025-11-11T14:52:18+00:00,Tesla: Still A Strong Buy (On Pullbacks),SeekingAlpha,https://finnhub.io/api/news?id=b0f70c0629f1ea1889a0fb2eca300ac0eb787636ea1d63ae4907615fa2647a57
LCID,2025-11-10T18:02:30+00:00,"Lucid Group, Inc. 2025 Q3 - Results - Earnings Call Presentation",SeekingAlpha,https://finnhub.io/api/news?id=72b31ef2465b31b6480cd27e690400b063919c2f06011952919508d70bdaf4ac
LCID,2025-11-10T09:57:10+00:00,EV Company News For The Month Of October 2025,SeekingAlpha,https://finnhub.io/api/news?id=39ce8edbee5b064daedda61b9ade00faf60796a6ec295b98623b46454f8f0b27
LCID,2025-11-10T08:30:00+00:00,Rivian Stock Just Surged 25% in 1 Day. Here's Why Shares Are Still a Buy.,Yahoo,https://finnhub.io/api/news?id=0635524555289ded4ab6ac7468fce130a0d6d6d67d3ef5741f5d64f29e124a25
LCID,2025-11-07T15:00:00+00:00,Why I'm Watching Lucid Group Stock Closely Even If Experts Think It's Overvalued,Yahoo,https://finnhub.io/api/news?id=1c041626a0a97a7b1bfd4e8f868e9c1a5412ce1aa5230100c2090c5054988af9
LCID,2025-11-07T03:32:32+00:00,Reflecting On Automobile Manufacturing Stocks’ Q3 Earnings: Lucid (NASDAQ:LCID),Yahoo,https://finnhub.io/api/news?id=1765aeffe34de6b70c350cfddef1464ce4ecab8fe51c763f0b6388e8c39b837e
LCID,2025-11-06T23:17:46+00:00,"Lucid (LCID): Revenue Forecast to Grow 44.6% Annually, But Losses Persist Ahead of Earnings",Yahoo,https://finnhub.io/api/news?id=163e9fd5c716a46963558882c48071e5d16127237d467cf7d136ec2f937d8678
LCID,2025-11-06T21:33:00+00:00,Lucid Stock Rises. Numbers Weren’t Great.,Yahoo,https://finnhub.io/api/news?id=ac32d04503335b5b35f32c43cebb84d439510b95cb657b7a7559e14f43609ab5
LCID,2025-11-06T16:07:23+00:00,"Lucid Q3 losses widen as Gravity SUV production is 'ramping up,' midsize EV on track for 2026 release",Yahoo,https://finnhub.io/api/news?id=6edf6ba5bfa1b6c2317ab087d9349c63ab4213f8a9fdfa5c2fcfbe0911ebdce1
LCID,2025-11-06T14:40:05+00:00,Lucid Leans Into Robotaxis and $2 Billion Liquidity Boost,Yahoo,https://finnhub.io/api/news?id=61352629637e38ce3b9fb80d31d94d7f9a218ecb308c495363fff87ff7ea750a
LCID,2025-11-06T14:29:35+00:00,Lucid Group (LCID) Q3 2025 Earnings Transcript,Yahoo,https://finnhub.io/api/news?id=754d31e34ddf987753f4a32fcf7e0dcefe568e9197dc28132a3025c7c5d4a59c
LCID,2025-11-06T14:20:45+00:00,"LCID Q3 Deep Dive: Partnerships, Production Hurdles, and Strategy Shifts Amid Rapid Growth",Yahoo,https://finnhub.io/api/news?id=5a7aa77bf96d5c6cf99110531fa6d05538ae2350de751618eae6183eaf2ec14b
LCID,2025-11-06T14:10:00+00:00,Lucid Wants to Be the First Automaker to Sell Driverless Cars. That's Easier Said Than Done.,Yahoo,https://finnhub.io/api/news?id=da455cd7fe8aa6001582de11e66abdb8ced41eed82173e79f529ba5ec9d85c36
LCID,2025-11-06T12:28:47+00:00,Lucid Motors trims Q3 2025 loss as revenue and production climb,Yahoo,https://finnhub.io/api/news?id=23e4bced72446752204ee04696fd39c99a83b827eb41da698835b1f872771563
LCID,2025-11-06T08:40:08+00:00,Lucid: Saudi Money Can't Buy Profitability,SeekingAlpha,https://finnhub.io/api/news?id=89d2bfa414b1caaa34ec71beea2f7f5e13d815f16dbea8404d72dc2e9a5d325d
LCID,2025-11-06T05:15:55+00:00,Lucid Group Inc (LCID) Q3 2025 Earnings Call Highlights: Record Deliveries and Strategic ...,Yahoo,https://finnhub.io/api/news?id=c0ec6ec724bd6f0041c3a710aa5e91dac7914a845c8582f4805f98d50ea2195d
LCID,2025-11-06T04:00:00+00:00,Lucid Reports Q3 Revenue Rise of 68% as Production and Deliveries Accelerate,Yahoo,https://finnhub.io/api/news?id=520b637de0814a7bac7579fe52fbdc2b6d4ea64362cbfff8e25cf205801bb808
LCID,2025-11-06T02:51:11+00:00,"Lucid Group, Inc. (LCID) Q3 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=8c232d4229ec4d1c9ccce60cc7602ce278a3db1981c60394555d57376ca74dc9
LCID,2025-11-06T00:19:41+00:00,Lucid Motors Q3 net loss narrows to $978 million; revenue surges 68% ahead of EV tax credit cutoff,Yahoo,https://finnhub.io/api/news?id=f4a61b30f173d95e9835e80cb6526a7ef8348e311b82a221a5a8876b4b99c04b
LCID,2025-11-06T00:01:41+00:00,Lucid Group Tumbles After Missing on Q3 Earnings and Revenue,Yahoo,https://finnhub.io/api/news?id=4ba5164997c1523966db60eb234a7fea07d06c09e66dd94ae966efbeee5a90f6
LCID,2025-11-05T22:40:49+00:00,Lucid: Q3 Results Not Good,SeekingAlpha,https://finnhub.io/api/news?id=806179f06dfbfb250078ccd72d0c058e3c1dd3abf60b07f1ead1603e57289426
LCID,2025-11-05T22:30:03+00:00,"Lucid Group (LCID) Reports Q3 Loss, Beats Revenue Estimates",Yahoo,https://finnhub.io/api/news?id=77e02fe62db4a027e8393e366949545c91de4114a961ab4aff0b967b5349b85d
LCID,2025-11-05T21:26:41+00:00,Lucid Group: Q3 Earnings Snapshot,Yahoo,https://finnhub.io/api/news?id=9cb4c4fc6d25007f4d8367fb881e2eb02726de6d779043ff6b3a0ffd8fac6556
LCID,2025-11-05T21:19:17+00:00,Why Lucid Group (LCID) Is Up on Nvidia Partnership and Robotaxi Push With Uber and Nuro,Yahoo,https://finnhub.io/api/news?id=d14de48ed1e1c8f07d78bfaac482560fa24248c49a4940f88036604a04c00614
LCID,2025-11-05T21:12:51+00:00,Lucid (NASDAQ:LCID) Reports Sales Below Analyst Estimates In Q3 Earnings,Yahoo,https://finnhub.io/api/news?id=f0432f922d892a447a13b194f9c5db3525d9c6e39a04cf00ca195c6343aaa018
LCID,2025-11-05T21:06:00+00:00,"Lucid Announces Organizational Changes to Accelerate Growth, Optimize Decision-Making and Strengthen Global Expansion",Yahoo,https://finnhub.io/api/news?id=8d08374577ce39589df9e52bb4c27951566c4a851194e983aca3b0e5da22f37a
LCID,2025-11-04T14:35:02+00:00,"After Plunging 30.7% in 4 Weeks, Here's Why the Trend Might Reverse for Lucid Group (LCID)",Yahoo,https://finnhub.io/api/news?id=d02c57580d5caec17c57f205dd4528df8b7eb4428cd1daa12027ad6c5f217511
LCID,2025-11-04T12:19:15+00:00,Uber stock dips despite strong Q3 earnings with Wall Street wanting more,Yahoo,https://finnhub.io/api/news?id=b60a6625fd6d7e4a22d863fd1a8e914fdce17179900c9453fa697483c9263858
LCID,2025-11-04T08:41:00+00:00,"1 Reason Tesla Stock Is Called a ""Strong Buy"" Before 2026",Yahoo,https://finnhub.io/api/news?id=4643745cbca0422c76abc8c612f73a76ccfb218d99e70355f4a6b4c2f8c4f066
LCID,2025-11-04T03:15:36+00:00,Lucid Earnings: What To Look For From LCID,Yahoo,https://finnhub.io/api/news?id=df4dce5f3eeef8c7dddaabc37bf4d85c4e8787bd99cb8f13c7049d960791a811
LCID,2025-11-03T18:20:47+00:00,Why Lucid (LCID) Shares Are Trading Lower Today,Yahoo,https://finnhub.io/api/news?id=e655af294d94db75d51da762d24f6d83878a0b627d74965a123c11213ede601d
LCID,2025-11-03T17:01:59+00:00,"Uber Q3 preview: Strong earnings, forward guidance, and autonomous outlook key for investors",Yahoo,https://finnhub.io/api/news?id=4ece7cafa854d8edc520218901335efd7613f44f04f46704b73993b4142692c4
LCID,2025-11-03T15:46:00+00:00,Ford’s EV Sales Plunge. Now We Know What the Tax Credit Meant.,Yahoo,https://finnhub.io/api/news?id=180138552596f42d9739e5b5e50809763a5b844f6ee53ca0448b03e1b43d9023
LCID,2025-11-02T22:05:00+00:00,Best And Worst Stocks And ETFs Through October,SeekingAlpha,https://finnhub.io/api/news?id=596767e13d34a784a158a95a4044312cbba2c5a6989cb2aea4741c3376130be3
LCID,2025-11-02T18:54:00+00:00,2 Reasons to Buy Rivian While It's Below $70.49,Yahoo,https://finnhub.io/api/news?id=db570be1398aa3318e95df141a6c7337cb45b2683885995584803d45ca2dabc3
LCID,2025-11-01T08:10:00+00:00,1 Surprising Reason I'm Keeping My Eye on Lucid Group Stock Right Now,Yahoo,https://finnhub.io/api/news?id=099b490ab31ce14b777b4d69e0e3c9ce8217123297788083d67e6b373a251730
LCID,2025-10-29T19:00:00+00:00,Are Nvidia's new partnerships adding value to AI trade?,Yahoo,https://finnhub.io/api/news?id=9904d8433db162b66537686e0834141b58b369f98cd9d3ace8b7acbd5e061d54
LCID,2025-10-29T15:32:59+00:00,Uber Outlines Robotaxi Rollout: This EV Maker Surges,Yahoo,https://finnhub.io/api/news?id=5de16ff4bdc7dd4e15866c0f58c275414009171a32ebf5308cd8d0e3ba08503a
LCID,2025-10-29T14:00:19+00:00,Lucid Group (LCID) Expected to Beat Earnings Estimates: Should You Buy?,Yahoo,https://finnhub.io/api/news?id=0f7313ef441378f637685c21c68e167e923fe3ba570214a1b3d17069537b8836
LCID,2025-10-29T13:39:52+00:00,This Saudi-Backed EV Stock Surges As Uber Outlines Robotaxi Rollout Details,Yahoo,https://finnhub.io/api/news?id=5be5f49d58eb808839d366afeea3397495c6b819d77349b26f728a7d500a1bfd
LCID,2025-10-29T12:00:00+00:00,Uber to launch a premium robotaxi service in Waymo’s turf of San Francisco,Yahoo,https://finnhub.io/api/news?id=8fbdcb8d163d3b03d7af658ce03a904fed51954f8f2404e4960ba8bdfbba98e9
