ticker,published_utc,title,publisher,url
MDRX,2025-10-01T10:19:54+00:00,Veradigm Inc. (MDRX) Investor Update Call (Transcript),SeekingAlpha,https://finnhub.io/api/news?id=25370bf05cc4186824728276f50aa456feacc7c80aff52ee2a771568371e5700
MDRX,2025-10-01T10:12:07+00:00,Veradigm Inc. - Special Call,SeekingAlpha,https://finnhub.io/api/news?id=05cbc3e863a6fc521d7f91adc7a135e54fc91367b2a3962d8ef539c2f016a91d
MDRX,2025-09-26T12:59:24+00:00,Veradigm: A Relisting Special Situation With Strategic Optionality,SeekingAlpha,https://finnhub.io/api/news?id=cca8c890dd5e7e6dbf6c8fbe0e558054bba9aa34576f9656f97e9bc5b6d17adb
MDRX,2025-08-05T11:00:00+00:00,Envision Pharma Group appoints Tom Langan as Chief Executive Officer,Yahoo,https://finnhub.io/api/news?id=066a8e438937350b7e0f4eff84e5e1ebefcf2896e8ca1cd0d362ce4b6adffed2
MDRX,2025-06-24T09:42:33+00:00,Transcript : Veradigm Inc. - Special Call,Finnhub,https://finnhub.io/api/news?id=3af273ca478f9011dafbf170e90b899635c24567ee1035dbbff05db7326131b6
MDRX,2025-06-23T20:01:00+00:00,Veradigm Provides 2025 Financial & Business Update,Yahoo,https://finnhub.io/api/news?id=7ccec80a3c7c469255e8c26da4ff00e4fca9e5e37304fdd737b44c3bd8d18480
MDRX,2025-06-20T07:05:23+00:00,Veradigm Llc and Veradigm Inc. Enter into USD 100 Million Senior Secured Term Loan Credit Facility,Finnhub,https://finnhub.io/api/news?id=67df1220f3e70033c1b8678b7fe597d29d3a1526bcf6512d98ab57a9337b0ef6
MDRX,2025-06-18T21:27:00+00:00,Veradigm to Release Business Update June 23rd and Host Investor Call June 24th,Yahoo,https://finnhub.io/api/news?id=d85f93a59634eb991720b91e7fca2c4bf32a68c1dbc232e28c8b8dbd17bce344
MDRX,2025-06-05T12:01:00+00:00,Veradigm Launches Smart Medicine Podcast to Explore the Evolution of Healthcare,Yahoo,https://finnhub.io/api/news?id=ecc2fe7e51a848573d26547f1eb42fa580bccf64aba20474abd8a5b50188e0ec
MDRX,2025-05-20T12:01:00+00:00,Veradigm Recognized with KLAS 2025 Points of Light Award for Optimizing Value-Based Care,Yahoo,https://finnhub.io/api/news?id=85a0987adeb0cfc7b58cf9194f614e6ab5a4fae3a46d2c1e989eb173d1fefae2
MDRX,2025-05-12T12:01:00+00:00,Veradigm Advances GLP-1 Real-World Evidence Generation with AI-Driven EHR Data Curation,Yahoo,https://finnhub.io/api/news?id=179b2d41dfdc2083592fd0191f5726495393277dafca0c4733f0396a8583f15b
MDRX,2025-04-13T10:44:35+00:00,"The 1-Minute Market Report April 13, 2025",SeekingAlpha,https://finnhub.io/api/news?id=7735776b24cbde9302a445a33fc483d0be680a4cfc8b46077d6536755a287a46
MDRX,2025-04-09T12:01:00+00:00,Black Book Ranks Veradigm Payer Analytics the #1 Overall Payer Analytics Solution Vendor in 2025,Yahoo,https://finnhub.io/api/news?id=28e6ac6234a54b4ec85d64497447d6599cca7549d194927821ac4cff711ecfd5
