ticker,published_utc,title,publisher,url
MG,2025-11-12T13:04:02+00:00,Mistras: Vision 2030 Starts To Deliver,SeekingAlpha,https://finnhub.io/api/news?id=bd43e918f3a8b73ab2470049a6e7ede0c93be0b5c2ac97bba212dac7843408e7
MG,2025-11-08T18:47:46+00:00,"Mistras Group, Inc. 2025 Q3 - Results - Earnings Call Presentation",SeekingAlpha,https://finnhub.io/api/news?id=9d4bdfa0ec3e0d9621ee306c11745435e53a9af15b99671b81425a18d72a896b
MG,2025-11-05T13:01:15+00:00,"Mistras Group, Inc. (MG) Q3 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=7d72be93554e14acbaad31ebc66b8eb3c8a6fa63a990cce4122a48575b6e0396
MG,2025-11-05T06:09:21+00:00,ICF International: Revising The Thesis On Tightened Guidance,SeekingAlpha,https://finnhub.io/api/news?id=96b369203cd85c78e019c20094db2c9c05a221941bba03e21453527553da5626
MG,2025-10-29T12:10:02+00:00,Garmin (GRMN) Tops Q3 Earnings Estimates,Yahoo,https://finnhub.io/api/news?id=5fd6915f5d22753aa0b17988c9b7b86be77c474c50628a6a461657b49f5aeb9c
MG,2025-10-23T13:30:00+00:00,"MISTRAS Group Announces Conference Call to Discuss Third Quarter Results on November 5, 2025",Yahoo,https://finnhub.io/api/news?id=4542911ec528237e358734ca009cdc17911613aa2baa512c1837631c72644edf
MG,2025-10-16T12:00:00+00:00,"MISTRAS Group to Participate in Baird’s 55th Annual Global Industrial Conference on November 12, 2025",Yahoo,https://finnhub.io/api/news?id=9dfc6d2deb3440bdfbd55df2e165d2f3abe04c7c59f38b9d63a4279c05333bbc
MG,2025-10-14T16:39:00+00:00,Strength Seen in ESS Tech (GWH): Can Its 117.6% Jump Turn into More Strength?,Yahoo,https://finnhub.io/api/news?id=e28c4c0302c127c876d16810f47abfef9bc52b7bd07b44f43fde2fd858b80c1a
MG,2025-10-14T12:00:00+00:00,MISTRAS Group Partnering with Villari to Offer Wireless Crack-Detection Sensors for Critical Steel Assets,Yahoo,https://finnhub.io/api/news?id=4f0860e2e999013679cb75bc41c1ca5b14005052aa91a2fa663954b6e13e49f2
MG,2025-10-10T15:07:32+00:00,"Is Mistras Group, Inc.'s (NYSE:MG) Recent Stock Performance Influenced By Its Fundamentals In Any Way?",Yahoo,https://finnhub.io/api/news?id=95f3ca1ec40608fb8b80cdcde6bfdf40717d5ca770913eacd64a30410f213544
MG,2025-09-26T15:05:00+00:00,SIGMA LITHIUM (SGML) Surges 9.9%: Is This an Indication of Further Gains?,Yahoo,https://finnhub.io/api/news?id=e53edaff4b897672315ceed37f8380bd4f40d9aa220a4f6b16bd767b69208011
MG,2025-09-09T14:00:00+00:00,MISTRAS Group Partners with Batchelor & Kimball to Deliver Advanced Inspection Solutions for Data Centers,Yahoo,https://finnhub.io/api/news?id=fc03ec0a6da802cf662a4bf0c3652d0f5f5c4b249220869e72b628e066d0c621
MG,2025-08-27T13:00:00+00:00,MISTRAS to Provide Critical NDT Services for Bechtel on the Department of Energy’s Hanford Vit Plant,Yahoo,https://finnhub.io/api/news?id=438b6358f40535d3d65f06f2040ad415c98e029235521409475f2c8fce726dc2
MG,2025-08-19T12:00:00+00:00,"Sidoti Events, LLC's Virtual August Micro-Cap Conference",Yahoo,https://finnhub.io/api/news?id=f233562d9566241c169d5fd2dc26ff0aa717c5e438cd91e1f806d54a628bd9dc
MG,2025-08-12T06:50:13+00:00,"Mistras: Higher-Margin Pivot Is Working, Even Without Oil's Help",SeekingAlpha,https://finnhub.io/api/news?id=619de55a6ff8957223ee63e554a22287c49b1b5a6b20be318dbcf28bc10514c0
MG,2025-08-08T17:01:04+00:00,MISTRAS Group Inc (MG) Q2 2025 Earnings Call Highlights: Record EBITDA and Strategic Shifts ...,Yahoo,https://finnhub.io/api/news?id=4b7ea15571c31db4bf85ae30ee94ddb84e8fbf4057a9d97e9c29f485711ad5eb
MG,2025-08-08T05:26:51+00:00,"Mistras Group, Inc. 2025 Q2 - Results - Earnings Call Presentation",SeekingAlpha,https://finnhub.io/api/news?id=877b91c59e3fca734256ea30039d10d7cd445133775c36c0d7724ed1d02c61c5
MG,2025-08-08T05:26:13+00:00,"Mistras Group, Inc. (MG) Q2 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=b4410863132de1d7b19c3d01fb6fa730cb8fd942e8b5b74c25e8f73c1e0bd0ac
MG,2025-08-06T21:45:03+00:00,Mistras (MG) Beats Q2 Earnings Estimates,Yahoo,https://finnhub.io/api/news?id=f2ec7ed3baf3b90456b6f2daf797d76a5b403f1dd06f3308c331c90646e5ec6c
MG,2025-08-06T20:45:20+00:00,Mistras: Q2 Earnings Snapshot,Yahoo,https://finnhub.io/api/news?id=f23b1264c4e056b03ddf7bc2351345d728836bb1c971096b2fc9b3bc0b246a82
MG,2025-08-06T20:15:00+00:00,MISTRAS Announces Second Quarter and First Half 2025 Results,Yahoo,https://finnhub.io/api/news?id=79417cc82dfaf5f36b272cf6ed832cc609dc010179c3016f6d78b412dfc34600
MG,2025-07-24T13:00:00+00:00,"MISTRAS Group Announces Conference Call to Discuss Second Quarter Results on August 7, 2025",Yahoo,https://finnhub.io/api/news?id=7d2d6b7359c2085b327b147ae5f4ba1f147f44a6be3833000c6de200b0222e76
MG,2025-07-16T19:11:46+00:00,The Return Trends At Mistras Group (NYSE:MG) Look Promising,Yahoo,https://finnhub.io/api/news?id=72460e4b6fc99b2acddeeb8004f36e3d8f9b24c2938eb3751b61f571cc4f604e
MG,2025-07-09T08:38:38+00:00,What If Mistras Isn't As Broken As It Looks?,SeekingAlpha,https://finnhub.io/api/news?id=a30554c877ed5d32c623db3e47c335837238b728db43d718c05bb85f0145eaa3
MG,2025-06-26T10:24:50+00:00,Investors in Mistras Group (NYSE:MG) have seen impressive returns of 116% over the past five years,Yahoo,https://finnhub.io/api/news?id=d8ccb12e7b1b1e807ad7daa96a98013c7601e24626685ec67a965099764f5701
MG,2025-06-25T13:00:00+00:00,MISTRAS Group Names Cody Elliott Vice President of Pipeline Data Solutions,Yahoo,https://finnhub.io/api/news?id=d6255f96e1da9db72ed23231e2f4140aa12a84d49c682bf7199cf328db669955
MG,2025-06-02T22:05:59+00:00,Mistras Group (MG) Price Target Decreased by 11.24% to 13.43,Fintel,https://finnhub.io/api/news?id=0263afbed95b0bfc85f4f5b21618e44ac204373f44af32f3b5744a669233531b
MG,2025-05-23T12:40:00+00:00,Implied Volatility Surging for Mistras Group Stock Options,Yahoo,https://finnhub.io/api/news?id=2f0681165ad60482cc6f1384a23e17baad56dd0c166519d663ae209f609f9c46
MG,2025-05-16T10:09:26+00:00,We Think Mistras Group's (NYSE:MG) Solid Earnings Are Understated,Yahoo,https://finnhub.io/api/news?id=76c5fb2c91dde7d5e0592b6183bead9eed91edcfa5fa6cad248aa8ae93ee1b01
MG,2025-05-11T12:40:17+00:00,"Mistras Group, Inc. Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now",Yahoo,https://finnhub.io/api/news?id=7389c2e24d5fc17441e1cb88803e68194c09dcd0bb4a9c526fd3fc704fd95e75
MG,2025-05-09T09:54:25+00:00,"Mistras Group, Inc. (MG) Q1 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=c39b8907c9cc7da96be864ed323b95b540cd486e541963496c6ca6d0934fc310
MG,2025-05-08T08:21:09+00:00,MISTRAS : Q1 2025 Earnings Report Presentation May 2025,Finnhub,https://finnhub.io/api/news?id=e0e73324279f10ccbde22b91990f240de5a6bf2490bee785ee48693a8a92f7e2
