ticker,published_utc,title,publisher,url
PHM,2025-11-12T13:18:36+00:00,What Are Wall Street Analysts' Target Price for PulteGroup Stock?,Yahoo,https://finnhub.io/api/news?id=aa748451d8d9030669103096f6d397548b0ca74237d0b9ba12b83e8ef2df7511
PHM,2025-11-10T15:30:00+00:00,Home Is Where The Pain Is,SeekingAlpha,https://finnhub.io/api/news?id=fba0b5dc4dc44d89148e3aafd5930b0d3b14676e4f8f7f9f91ea4aeef25e33f2
PHM,2025-11-10T13:00:00+00:00,PulteGroup Celebrates Veterans Day with More Than Words: Building Homes and Careers for Those Who Served,Yahoo,https://finnhub.io/api/news?id=eea5002f943dda93b6c88c09db096f03df99495fdf25e3662600c5b0218771ce
PHM,2025-11-10T12:48:14+00:00,"Trump proposes 50-year mortgage, but some say homeowner savings would be minimal",CNBC,https://finnhub.io/api/news?id=5d53c7b34873ab847f85c8ea401268eb9426aad6fcded7f5f576952b7c446ce2
PHM,2025-11-07T20:51:00+00:00,More Homes Equal Lower Prices. Bill Pulte Wants Builders to Step on the Gas.,Yahoo,https://finnhub.io/api/news?id=022921130a6043384c9000e057c728a831d2e2e3451aab02898730619aead1d1
PHM,2025-11-07T14:00:05+00:00,"PulteGroup, Inc. (PHM) Is a Trending Stock: Facts to Know Before Betting on It",Yahoo,https://finnhub.io/api/news?id=42e32c06c3157c1cfebdbccc005a8c4a47ff469e2ab20d6d3e16534e49a5a4a4
PHM,2025-11-05T19:50:49+00:00,"Buy Green Brick, A Solid Homebuilder",SeekingAlpha,https://finnhub.io/api/news?id=4a4a4150045a10fe838c2f43274a732e05c445884106501b38a6901014a7fbd6
PHM,2025-10-31T05:10:35+00:00,How Lower Q3 Earnings and Aggressive Buybacks at PulteGroup (PHM) Are Shaping Its Investment Narrative,Yahoo,https://finnhub.io/api/news?id=97d4cf4cb284be070af92ea2e967841702f2c291546f1083846b7923f8f1d1f2
PHM,2025-10-30T15:08:00+00:00,"EMCOR Q3 Earnings Miss Estimates, RPOs Increase Y/Y, Stock Up",Yahoo,https://finnhub.io/api/news?id=da50d2e0743e03a9126f94f0c07eb454780ca34b2578775be043952c91913200
PHM,2025-10-29T17:02:00+00:00,"Masco Misses Q3 Earnings & Sales Estimates, Slashes '25 EPS Outlook",Yahoo,https://finnhub.io/api/news?id=579a0968faa34041366daad7572ae792ff30d3a27edd3b559cc2953382607eb3
PHM,2025-10-29T14:24:00+00:00,"Otis Worldwide Q3 Earnings & Net Sales Beat Estimates, Stock Up",Yahoo,https://finnhub.io/api/news?id=d3b7900dc59f8c0e6b98b43b733de97addb3b265df32c807e2290bce2372aed8
PHM,2025-10-28T19:22:00+00:00,"Home builders are struggling, and it’s not just because new houses aren’t affordable",MarketWatch,https://finnhub.io/api/news?id=e00ea1336bf1fd7428f258fd39c5cae1516627934ac33f45130192917bcc90ef
PHM,2025-10-28T17:04:00+00:00,"D.R. Horton Stock Tumbles on Q4 Earnings Miss, Revenues Down Y/Y",Yahoo,https://finnhub.io/api/news?id=be340d76508e82664ca3fb661cbf99b3a5e0caeb17fe8ef3e8c1b667318d718e
PHM,2025-10-27T13:00:04+00:00,"Investors Heavily Search PulteGroup, Inc. (PHM): Here is What You Need to Know",Yahoo,https://finnhub.io/api/news?id=94a99a9d0facfea5f553ed2367caf6749b8963d260162c7cc822b20385a2b484
