ticker,published_utc,title,publisher,url
PNC,2025-11-12T09:13:39+00:00,PNC Financial Services Group (PNC): Exploring the Latest Valuation Narrative for Investors,Yahoo,https://finnhub.io/api/news?id=70c379bef69411b812230c4ee02fea94ec57c3b6388232c1f2c3dd248136ed39
PNC,2025-11-11T18:20:00+00:00,PNC Financial's Branch Expansion Push: A Smart Growth Move?,Yahoo,https://finnhub.io/api/news?id=b51c58a7898f550f172e1c9b634e81ae1f1986550851d9a6ef3de83c6907bee0
PNC,2025-11-10T17:34:00+00:00,"PNC Financial Plans 300+ Branches by 2030, Boosts Investment to $2B",Yahoo,https://finnhub.io/api/news?id=f2186818fe5f29ee53d475f7126cba43aae4b14ab4c47dca3e2f6c219244eb42
PNC,2025-11-10T14:40:04+00:00,Are You a Value Investor? This 1 Stock Could Be the Perfect Pick,Yahoo,https://finnhub.io/api/news?id=f67fd1ca7e512f3873671bbe82414a1fce76586c744e2667cb5a5178ee815762
PNC,2025-11-10T14:00:00+00:00,Extend and PNC Bank Collaborate to Modernize Commercial Card Payments for Businesses,Yahoo,https://finnhub.io/api/news?id=c6bec1bb3c209501416d3c0105c317afc046d2a746d76b6cfcd97a76e314b7bf
PNC,2025-11-10T09:25:03+00:00,PNC Bank to open more than 300 new branches by 2030,Yahoo,https://finnhub.io/api/news?id=643d37aa9554307c950d15f625a7daa3bb6f6fb54393237508d291496d8c37ab
PNC,2025-11-10T08:28:31+00:00,"Solana News: Rothschild, PNC Financial Services Disclose Holdings in SOL ETF",Yahoo,https://finnhub.io/api/news?id=294165262240a72225b8cd6fa430a1c79b8d47351c3f10dd3e364cbe9e0c729f
PNC,2025-11-07T17:14:47+00:00,How Investors Are Reacting To PNC Financial Services Group (PNC) Accelerating $2 Billion Branch Expansion Plan,Yahoo,https://finnhub.io/api/news?id=d8eb9dcb327dd4c92412faa0e2cbd2221e931f7afbaea0466c3eb4f2eec9703c
PNC,2025-11-07T16:40:05+00:00,PNC or TW: Which Is the Better Value Stock Right Now?,Yahoo,https://finnhub.io/api/news?id=bc5df68cdeb9dedffb5216b83bdfd97765c750bde9da4da854be43d902934a80
PNC,2025-11-07T14:16:20+00:00,"The PNC Financial Services Group, Inc. (PNC) Presents at The BancAnalysts Association of Boston Conference Transcript",SeekingAlpha,https://finnhub.io/api/news?id=da620bed67f546cd1cdc0aae4f99cf387947f1145ab35ec9851ee5af8e86c619
PNC,2025-11-07T13:00:00+00:00,PNC Bank Increases New Branch Openings to More Than 300 by 2030,Yahoo,https://finnhub.io/api/news?id=4cc9386d1dc89b7e71f34eccce0be23782f95834bcec822734306cad24c2e93e
PNC,2025-11-07T12:11:09+00:00,"The PNC Financial Services Group, Inc. (PNC) Presents at The BancAnalysts Association of Boston Conference - Slideshow",SeekingAlpha,https://finnhub.io/api/news?id=8f5f19a3946ec45f809edf479ecb89dc021281dacac6c8f40a9c4b807947ee19
PNC,2025-11-06T21:05:00+00:00,Trupanion Reports Strong Third Quarter 2025 Results and Secures New Credit Facility,Yahoo,https://finnhub.io/api/news?id=9c1ef60ddd2c7609f297aa5f52ca0d26ae4bb53e30d71ea8aabaf6bc6ce35ac5
PNC,2025-11-06T04:03:36+00:00,2 Reasons to Like PNC (and 1 Not So Much),Yahoo,https://finnhub.io/api/news?id=80947db1ff8c68e5aab12ade33565c201d60586b53b419936f2d2f37c0538e15
PNC,2025-11-05T21:20:00+00:00,"Regional Management Corp. Names Lakhbir Lamba as President, Chief Executive Officer, and Director",Yahoo,https://finnhub.io/api/news?id=ecd1d0c0d5bc874f9df48068b1c270779e2a155718f5077aef93c52858529b46
PNC,2025-11-01T01:21:19+00:00,"Dividend Champion, Contender, And Challenger Highlights: Week Of November 2",SeekingAlpha,https://finnhub.io/api/news?id=ec0d276a80e08ab952f7328fbf288cfd9113664130a413a009485abe884e7623
PNC,2025-10-30T21:03:29+00:00,Coinbase stock rises after company posts higher revenue on crypto market upswing,Yahoo,https://finnhub.io/api/news?id=31238309816040283782460a2b2fb12e0ee38186be6f97d48bc63c4318150150
PNC,2025-10-30T04:30:00+00:00,Banks Face Credit Slippage But Not As Bad As Some Fear,SeekingAlpha,https://finnhub.io/api/news?id=f1b02feddd7bbaf761b1682f51c1c634e4660b0e87d68559ef176b90abed7bd5
PNC,2025-10-29T21:08:00+00:00,"PNC Bank, N.A. Changes Prime Rate",Yahoo,https://finnhub.io/api/news?id=5f6b11b0e920e9eeda4d2fcec12289ba77e5edb8425d9b76a36d087590763266
PNC,2025-10-29T13:02:00+00:00,"Post Q3, Which Bank Has the Edge: Bank of America or PNC Financial?",Yahoo,https://finnhub.io/api/news?id=24b937255891bc9d88146b3dc1455c691f0400ff5f7287bae9da58abdf1097a1
PNC,2025-10-29T03:11:31+00:00,PNC Financial Services Group (PNC): Examining Valuation After Recent Share Price Weakness,Yahoo,https://finnhub.io/api/news?id=f894481b97d78b1d5345c4aaf5e23c17c393075f376fff4ebb9eb1b06bb4c02e
