ticker,published_utc,title,publisher,url
QS,2025-11-10T14:27:00+00:00,QuantumScape Stock Up 83% in 3 Months: Is it Still a Buy?,Yahoo,https://finnhub.io/api/news?id=f090e5e8450354033460990ac4c53a0d1a444a05de5e939d10f30a25e0a548ee
QS,2025-11-08T18:14:00+00:00,3 Must-Own Stocks for the Driverless Vehicle Revolution,Yahoo,https://finnhub.io/api/news?id=c3b8e6de6f5e338778301349c66fbc094fc85620336eb78fef73d9ef6775bf1e
QS,2025-11-07T18:30:00+00:00,Why QuantumScape Stock Soared Another 50% in October to a 52-Week High,Yahoo,https://finnhub.io/api/news?id=9ca9c3304a199d85ca3a8c962d85cb15e57acfa3581837eb175cdb6fa124e00c
QS,2025-11-07T10:39:53+00:00,Latest News In Electric Vehicles - EV Battery Testing Market Poised for Rapid Expansion,Yahoo,https://finnhub.io/api/news?id=373f42cd6c9d015d93b8b1c89ab33b574b049b2b378a882de8b27c5921c8c657
QS,2025-11-06T13:02:00+00:00,QuantumScape Ships B1 Samples in Q3: Is Market Reality Near?,Yahoo,https://finnhub.io/api/news?id=ce26ad8a4147688ad5a257d65aa7ab56974f2366bbc5d22ef376cf6d63721a97
QS,2025-11-06T12:51:00+00:00,Will QS' Extended Cash Runway Through 2029 Fuel Its Next Growth Phase?,Yahoo,https://finnhub.io/api/news?id=d39c28fe8511cde084a68c2e7a8d45dcd8c0ec2c19732a4c3bb8da7a97a415f8
QS,2025-11-05T10:57:09+00:00,QuantumScape: QSE-5 Battery Shipment Sparks Commercialization Inflection,SeekingAlpha,https://finnhub.io/api/news?id=eee953f73e88498f0a9760f595b807ec7bec0f8da523479b9ce12efbc55ae4aa
QS,2025-11-05T02:29:43+00:00,QuantumScape: A Convex Long On The Future Of Solid-State Energy,SeekingAlpha,https://finnhub.io/api/news?id=e4e46e2e95a07b43a682f0aa8e1f6bb1df911d40e0b7451349e2c1678d685e8d
QS,2025-11-04T15:42:00+00:00,Is QuantumScape's Capital-Light Model Finally Paying Off?,Yahoo,https://finnhub.io/api/news?id=375521c003e46f7c6fd940c60834af60eea1c9e4b7fe40fccacd8880d9cf0e18
QS,2025-11-04T15:13:28+00:00,Is QuantumScape’s 192% Rally Justified After Solid-State Battery Breakthroughs?,Yahoo,https://finnhub.io/api/news?id=461f070d0f69f1c9cd85e21c072aab41a8f57c920bef68c8290ed375318f570b
QS,2025-11-04T12:17:00+00:00,Do QuantumScape's Q3 Billings Mark the Start of Monetization?,Yahoo,https://finnhub.io/api/news?id=f972f0edcbbcc460e802e0da126b946e16f5aab1f16ee5e9088f1ffbc4f3a947
QS,2025-11-03T17:45:00+00:00,"$134M in Insider Moves: What It Might Mean for KMI, ISRG and QS",Yahoo,https://finnhub.io/api/news?id=b5e2e19a8a1b1422a49bd24b76d4244a29124a5cc57391de5e8777b27dfa7f04
QS,2025-11-03T15:27:00+00:00,4 Reasons to Buy QuantumScape Stock Like There's No Tomorrow,Yahoo,https://finnhub.io/api/news?id=fdeea097badc771d3e7c20a6dcbe57c80a2ea8ba45fc72668ed91b94129c2f4d
QS,2025-11-03T12:05:00+00:00,3 Best Clean Energy Stocks to Buy Now,Yahoo,https://finnhub.io/api/news?id=1905c50b22120b26f1398d716bd29acd9b7c39857143479790e140efa4eb9509
QS,2025-11-02T22:05:00+00:00,Best And Worst Stocks And ETFs Through October,SeekingAlpha,https://finnhub.io/api/news?id=596767e13d34a784a158a95a4044312cbba2c5a6989cb2aea4741c3376130be3
QS,2025-11-01T18:50:41+00:00,QuantumScape (QS) Bounces Back 16.8% as Analyst Ups PT,Yahoo,https://finnhub.io/api/news?id=79c0349ef3e4d2507c5cca7f6329edac2b817ced680df753066cef3b6d742142
QS,2025-10-31T06:00:00+00:00,This EV Battery Maker With No Revenue Is Up 200% This Year. Insiders Are Selling Stock.,Yahoo,https://finnhub.io/api/news?id=45a3fff3958092fd632884bc4419b6fa996e2cfc2ff0f228f6ba6cce8116750c
