ticker,published_utc,title,publisher,url
RL,2025-11-10T22:06:14+00:00,Ralph Lauren sends fans hard-nosed message on prices,Yahoo,https://finnhub.io/api/news?id=a951eba351a0404076109d4a7701aed326b2187eed5ac2d2ae092bcf01be1c42
RL,2025-11-09T05:12:05+00:00,Should Ralph Lauren's (RL) Raised Outlook and Margin Gains Prompt a Fresh Look From Investors?,Yahoo,https://finnhub.io/api/news?id=55de0e67456cae073fcc06b72fd13341620d2aece72009e7e5165f734b9d0d21
RL,2025-11-07T16:17:36+00:00,Telsey Advisory Group Maintains Ralph Lauren (RL) Outperform Recommendation,Fintel,https://finnhub.io/api/news?id=45405130f08c72d35c3e020028597a3cea6bd6c47cb63bcf6a114125bdf68b69
RL,2025-11-07T14:00:00+00:00,"Economists agree: You’re not crazy for feeling like the rich get richer, and the poor are doing worse. Welcome to the ‘K-shaped economy’",Yahoo,https://finnhub.io/api/news?id=9243843d2c8a4f3737f2d9300a038b90036bf79a85e1feb7b9480b8870e14081
RL,2025-11-07T12:54:00+00:00,"Hanesbrands Q3 Earnings Miss Estimates, Sales Decline Y/Y",Yahoo,https://finnhub.io/api/news?id=6aded245e29d0f52899c62f7281d5a21232468fdf10be56c940aa6da68df5f5a
RL,2025-11-07T12:38:20+00:00,"Ralph Lauren Corp Q2 sales, profit surge on new customer acquisition",Yahoo,https://finnhub.io/api/news?id=445cfb50c59c90bf0424cb8ba1cb439d1e05c705ad6177942b2f2ce356e7ffe0
RL,2025-11-07T10:08:44+00:00,Ralph Lauren posts 40% Q2 profit jump and raises 2026 margin outlook,Yahoo,https://finnhub.io/api/news?id=d1e06bf54dbe476f23978edfae3455f7261113635a1cc7cd9ede742ce4bb3545
RL,2025-11-06T18:59:00+00:00,"Under Armour's Q2 Earnings Beat Mark, E-Commerce Revenues Dip 8% Y/Y",Yahoo,https://finnhub.io/api/news?id=8dd2e3119be36547fa017aa7648567500f913e389badab72c69f01e1af6b464e
RL,2025-11-06T18:13:17+00:00,"Eli Lilly, Novo to cut GLP-1 cost; airline stocks fall on FAA cut",Yahoo,https://finnhub.io/api/news?id=1e8b6044d6b382be0620dd1318948559c60e5102478864639a13342a20987d64
RL,2025-11-06T17:24:00+00:00,"Ralph Lauren Beats Q2 Earnings & Revenue Estimates, Raises FY26 View",Yahoo,https://finnhub.io/api/news?id=d10cd0f526c6031ec080f53e58eb6cb408e52c49af307f21e5325703f07744c0
RL,2025-11-06T16:14:00+00:00,Earnings Data Deluge,Yahoo,https://finnhub.io/api/news?id=198306a5b8375fdb2d9e95d39d2af54bca342c22acca8a9ed6b6b2525cc2a704
RL,2025-11-06T16:05:00+00:00,"Interparfums Q3 Earnings Beat Estimates, 2025 Guidance Lowered",Yahoo,https://finnhub.io/api/news?id=e745d095067ab23db731a9056427f8fcc966772b7e129c3e7ba41e79d55664dc
