ticker,published_utc,title,publisher,url
ROK,2025-11-12T15:00:00+00:00,Rockwell Automation Introduces SecureOT Solution Suite to Strengthen Industrial Cybersecurity Resilience,Yahoo,https://finnhub.io/api/news?id=807e31ddecca47a1da8fdc92dc2b25443a5213816c845a80a34b754109dd2dba
ROK,2025-11-12T13:00:00+00:00,Chang Robotics and OTTO by Rockwell Automation Announce Collaboration to Transform Automation in Manufacturing and Consumer Products,Yahoo,https://finnhub.io/api/news?id=994072618980c034ca9246b1a17ba264039a07403a8106308bd74cc7fd8b43ea
ROK,2025-11-12T10:30:00+00:00,"Humanoids Rise: Figure's $1 Billion, Musk's $1 Trillion, XPeng's IRON",SeekingAlpha,https://finnhub.io/api/news?id=46b3ef5114dce45077af222fb0792937a880642e65af848e55860a464494083b
ROK,2025-11-12T00:04:49+00:00,JP Morgan Maintains Rockwell Automation (ROK) Neutral Recommendation,Fintel,https://finnhub.io/api/news?id=55fe6c6617fb8ecd06199f7c39ce87d58768338ed63fd3907656de31ae597868
ROK,2025-11-11T18:22:00+00:00,Industrial Stocks Enjoyed Earnings Season. Which Ones to Buy.,Yahoo,https://finnhub.io/api/news?id=1c7c45240e5fc65c6eda7eaeb015a1cdc9d870e5fc49c39009b442b4f53adfae
ROK,2025-11-11T03:36:27+00:00,Q3 Earnings Recap: Rockwell Automation (NYSE:ROK) Tops Internet of Things Stocks,Yahoo,https://finnhub.io/api/news?id=de64534275c92d3395845d0c4dcf5a39807a4da96721e90e2026978d37e14d77
ROK,2025-11-08T00:09:08+00:00,Wells Fargo Maintains Rockwell Automation (ROK) Equal-Weight Recommendation,Fintel,https://finnhub.io/api/news?id=a8ef9a680dc66d329c505db3dcc5d311e0f508e32b0f023c1515c13e87c8ac20
ROK,2025-11-08T00:03:44+00:00,"Dividend Champion, Contender, And Challenger Highlights: Week Of November 9",SeekingAlpha,https://finnhub.io/api/news?id=0f24cb5e688ce530a1a3feef456bd575a4ec37a9f09b01feab5a82b5eee9fb0e
ROK,2025-11-07T10:15:11+00:00,A Fresh Look at Rockwell Automation’s (ROK) Valuation Following Strong Earnings and 2026 Growth Outlook,Yahoo,https://finnhub.io/api/news?id=bf0389d6aaa618768d6397d4a190bfb7a330327d824e6602adefc050709698ea
ROK,2025-11-06T21:24:00+00:00,Rockwell Automation Stock Jumps. It’s All About the Outlook.,Yahoo,https://finnhub.io/api/news?id=a9baeacd3dba1478809436728090f7e20c15b29292f2cb7ce1578cd42790323d
ROK,2025-11-06T18:39:00+00:00,"Rockwell Automation Q4 Earnings Beat Estimates, Revenues Rise Y/Y",Yahoo,https://finnhub.io/api/news?id=31a0db8bbcd08e52ceffaaeccaa2ed3fd06b0fa5357a54f64c587b43127d3b65
ROK,2025-11-06T18:17:42+00:00,"Rockwell Exits Buy Zone, Sort Of, On Earnings Beat",Yahoo,https://finnhub.io/api/news?id=3c5f75a10cfc7c9244465b2bac5457e6f8d9268480df89978a3e58be9c508494
ROK,2025-11-06T17:01:52+00:00,"Humanoid robots are 'overkill' for use in most factories, says Rockwell CEO Blake Moret",CNBC,https://finnhub.io/api/news?id=58c3b0a3dae44924ea9c81ade90b27ae55c0503b55633d5a64b26a080f005adf
ROK,2025-11-06T17:00:00+00:00,"Rittal and Eplan to Debut Three New Products, Microsoft & Rockwell Automation Partnership at Automation Fair 2025, Chicago",Yahoo,https://finnhub.io/api/news?id=5d16c851b5725dc6b0c4f1dd29cab40a16516e700e552896884d47754d1dddf0
ROK,2025-11-06T14:30:05+00:00,"Compared to Estimates, Rockwell Automation (ROK) Q4 Earnings: A Look at Key Metrics",Yahoo,https://finnhub.io/api/news?id=3a02d65feec7dfdea9b27956649f0aecbb4c1cdf140c0bbbfa8ae20cc5aa27a9
ROK,2025-11-06T14:26:09+00:00,"Rockwell Automation, Inc. (ROK) Q4 2025 Earnings Call Transcript",SeekingAlpha,https://finnhub.io/api/news?id=a7f964899e77028e14472e8a871d985819bd9f0196a19628d8237945e5a79dcf
ROK,2025-11-06T13:10:03+00:00,Rockwell Automation (ROK) Q4 Earnings and Revenues Top Estimates,Yahoo,https://finnhub.io/api/news?id=d56b45fbc470789ed7e98c967a3d2fdde6451a0a8bf19accd658ae2704e32968
ROK,2025-11-06T12:39:46+00:00,Stocks Mostly Up Pre-Bell as Traders Assess Supreme Court Hearing on Trump Tariffs,Yahoo,https://finnhub.io/api/news?id=bdfedebaa2bc67307c5c0ff900a895dbd7463e378143b8be2232ccbb278a3c68
ROK,2025-11-06T12:27:44+00:00,Rockwell Automation: Fiscal Q4 Earnings Snapshot,Yahoo,https://finnhub.io/api/news?id=560bd81e7236ffbcfcfdb04482101f492164802f4f1b2602a74fe22f01bf8d47
ROK,2025-11-06T12:25:15+00:00,"Rockwell Automation’s (NYSE:ROK) Q3: Strong Sales, Stock Soars",Yahoo,https://finnhub.io/api/news?id=145742f9c9e9c5f63ad2bd0a875596434d68f6f3ae0c0260b4bf5e511aaf6120
ROK,2025-11-06T12:00:00+00:00,Rockwell Automation Reports Fourth Quarter and Full Year 2025 Results; Introduces Fiscal 2026 Guidance,Yahoo,https://finnhub.io/api/news?id=16dd3dcc76c783b06824c672223e3979112d90ab1474b8c52443ecec7080eabc
ROK,2025-11-06T10:32:17+00:00,Rockwell Automation: Looking At Q4 And The Company's Appeal,SeekingAlpha,https://finnhub.io/api/news?id=6bdd6956f55dbb9664f32e9e757b33b6b081197c3f01d3652185f221c8a05e50
ROK,2025-11-06T09:11:31+00:00,"Rockwell Automation, Inc. 2025 Q4 - Results - Earnings Call Presentation",SeekingAlpha,https://finnhub.io/api/news?id=c2243d34237dad2b51ec458eb3cd9d751e7e7d8fed06acdd4541fa9e5520bc68
ROK,2025-11-05T23:10:03+00:00,Kimball Electronics (KE) Q1 Earnings and Revenues Beat Estimates,Yahoo,https://finnhub.io/api/news?id=90959393cf1e1fd869c67890e9d1674483224c44f2dde1c28d3705fd2de355c8
ROK,2025-11-05T03:23:38+00:00,Rockwell Automation (ROK) Reports Earnings Tomorrow: What To Expect,Yahoo,https://finnhub.io/api/news?id=05e7d53680c39fe2a66d2c1661339171c52cef49c886f41ed1facb63defda125
ROK,2025-11-04T17:18:00+00:00,Rockwell Automation Set to Report Q4 Earnings: Here's What to Expect,Yahoo,https://finnhub.io/api/news?id=a49a68c436e86ddbac03e81818e670cb492df8291dd0c63dc34316353f487365
ROK,2025-11-04T16:18:00+00:00,AI in Food and Beverage to Reach $50.6 Billion by 2030,Yahoo,https://finnhub.io/api/news?id=cd7634889b6696068c5c6e11992143f5b2022c32198f4dda84bae718b87a8348
ROK,2025-11-04T15:00:05+00:00,Will Plug Power (PLUG) Report Negative Q3 Earnings? What You Should Know,Yahoo,https://finnhub.io/api/news?id=a63729c9b6251da0fab29a5bf062054598393f2dadef1a00255897d294994c43
ROK,2025-11-04T14:15:06+00:00,Seeking Clues to Rockwell Automation (ROK) Q4 Earnings? A Peek Into Wall Street Projections for Key Metrics,Yahoo,https://finnhub.io/api/news?id=4d4cd1c78ce7ae8955328c5b9e82ba8e3cb3c2b5b2d08a71ac9a927bdfb8c5fb
ROK,2025-11-04T12:30:02+00:00,2 Stocks to Buy Now to Profit from the Rise of Robotics,Yahoo,https://finnhub.io/api/news?id=9e08b284c9b1f3f1514558bb911464a27b141a94311f1a62e3a37af742bfb26f
ROK,2025-11-03T16:52:00+00:00,Rockwell Automation Inc. stock outperforms competitors despite losses on the day,MarketWatch,https://finnhub.io/api/news?id=f0999c3c9a6b00beabde11d7c505805611fe56dbb95370591b3d5d0933c3ba61
ROK,2025-11-03T10:13:53+00:00,Rockwell Automation (NYSE:ROK) Is Increasing Its Dividend To $1.38,Yahoo,https://finnhub.io/api/news?id=de0a352ec22441bc9a2c3fe82bad4d58dde250d313388762b9a6fcc75dc5e657
ROK,2025-11-03T04:41:19+00:00,3 Cash-Producing Stocks We Keep Off Our Radar,Yahoo,https://finnhub.io/api/news?id=1a3f34f81569d4599a34812409e514127419f875684e7cc6552e65854330d904
ROK,2025-11-01T23:15:00+00:00,"ADP, Snap-on Lead 14 Companies To Announce Annual Increases In First Half Of November",SeekingAlpha,https://finnhub.io/api/news?id=bce96eb99718ccd11e6a6fa83c53734cf90fb5a50c94ba49224fe30158c70dba
ROK,2025-11-01T01:21:19+00:00,"Dividend Champion, Contender, And Challenger Highlights: Week Of November 2",SeekingAlpha,https://finnhub.io/api/news?id=ec0d276a80e08ab952f7328fbf288cfd9113664130a413a009485abe884e7623
ROK,2025-10-31T16:03:31+00:00,DAKT vs. ROK: Which Stock Is the Better Value Option?,Yahoo,https://finnhub.io/api/news?id=4c1a3978ba2d31eeba8fed938be12cc8442c1c0bcb95117601add45c441dc428
ROK,2025-10-31T04:41:44+00:00,3 Inflated Industrials Stocks We Find Risky,Yahoo,https://finnhub.io/api/news?id=5817719f530f19dcade85d3be6c491771eddf2354512a8ed58c8643f79d7fc14
ROK,2025-10-30T23:30:00+00:00,AI Transforming the Machinery Industry Through Manufacturing Execution Systems (MES),Yahoo,https://finnhub.io/api/news?id=775c2b57e45895ee3be1de46887fdc15cff983b9b07c9acb42f39c15d11dc1ab
ROK,2025-10-30T20:15:00+00:00,Rockwell Automation Increases Quarterly Dividend to $1.38 Per Share on Common Stock,Yahoo,https://finnhub.io/api/news?id=028c95e29e2b92cd6ed9dffd4865d48a71fdb8ffc8136954fd7165ac84c5170e
ROK,2025-10-30T17:11:00+00:00,Rockwell Automation Boosts Quarterly Dividend to $1.38/Shr From $1.31,MarketWatch,https://finnhub.io/api/news?id=f7beb7a6528ec0d74cfcd5130f405dd473836cf1822fc11b431de15c7138ca7d
ROK,2025-10-30T14:00:21+00:00,Rockwell Automation (ROK) Reports Next Week: Wall Street Expects Earnings Growth,Yahoo,https://finnhub.io/api/news?id=8e0c08318f4a2418cf7e57b2759b72b4a23aee399595ea85c07f2840ce40a516
ROK,2025-10-30T11:00:00+00:00,First Autonomous Mobile Robots Roll Off the Line at Rockwell Automation’s Milwaukee Headquarters,Yahoo,https://finnhub.io/api/news?id=bf7754652a52b3a379514be5935a48968f1a4e3d8f5247f4a66f0b211fd1429d
ROK,2025-10-29T22:00:00+00:00,Will FactoryTalk Design Workbench Cement Rockwell Automation’s (ROK) Edge in Digital Transformation?,Yahoo,https://finnhub.io/api/news?id=74e6051402b3138b8257cbd782e5ed7368721d517a52e266e90e085d362404b1
ROK,2025-10-29T16:52:00+00:00,Rockwell Automation Inc. stock outperforms competitors on strong trading day,MarketWatch,https://finnhub.io/api/news?id=87a086305ab19a7cfa463811616d155284cea8492f5b16fdfac64396d59d48f0
ROK,2025-10-29T12:15:03+00:00,"Hayward Holdings, Inc. (HAYW) Beats Q3 Earnings and Revenue Estimates",Yahoo,https://finnhub.io/api/news?id=d8ac575579b433a9b99cb021faed26819ec71b975838ed0e0c2820399a94889f
ROK,2025-10-28T14:30:00+00:00,Rockwell Automation Announces Strategic Collaboration With Energy Observer for E03: Pioneering Sustainable Maritime Innovation,Yahoo,https://finnhub.io/api/news?id=c6c83dd6e43e150964d8f197586a9b787a94d0014c9f83125b50ddef002ab8fc
