ticker,published_utc,title,publisher,url
SNA,2025-11-12T13:11:38+00:00,Snap-on Incorporated (SNA) Presents at Baird 55th Annual Global Industrial Conference Transcript,SeekingAlpha,https://finnhub.io/api/news?id=527b1a437e9227fb68b3c864ff06f8708dabf233827dbfbb7325302682b85dc8
SNA,2025-11-10T10:35:01+00:00,Snap-on (NYSE:SNA) Is Increasing Its Dividend To $2.44,Yahoo,https://finnhub.io/api/news?id=cc7a0cec57e0e2ffffaf1af4848f7cfac4b25934b2508a517b72da67ccbb9397
SNA,2025-11-08T00:03:44+00:00,"Dividend Champion, Contender, And Challenger Highlights: Week Of November 9",SeekingAlpha,https://finnhub.io/api/news?id=0f24cb5e688ce530a1a3feef456bd575a4ec37a9f09b01feab5a82b5eee9fb0e
SNA,2025-11-07T12:17:20+00:00,How Investors Are Reacting To Snap-on (SNA) 14 Percent Dividend Increase After 16th Straight Hike,Yahoo,https://finnhub.io/api/news?id=fc8a5544a465ed14a2ddb26345226e7439ffb0f702a0694dd3cf785fc69173f0
SNA,2025-11-07T11:42:30+00:00,Investors in Snap-on (NYSE:SNA) have seen impressive returns of 132% over the past five years,Yahoo,https://finnhub.io/api/news?id=d0adbf9d0a4e7795a11dc89dc8fd9a88171146b813d64323388fef02473be37a
SNA,2025-11-06T21:45:00+00:00,Snap-on Raises Dividend 14%,Yahoo,https://finnhub.io/api/news?id=d9711728705dfb4ec65308b691a7dbc7d6fcb6f8155cf4079b449773ce6666fe
SNA,2025-11-05T04:01:40+00:00,"Snap-on (SNA): Buy, Sell, or Hold Post Q3 Earnings?",Yahoo,https://finnhub.io/api/news?id=dbee981860bf8605c6943f3eae16f96172dbebf8b8493d027b78050224af2040
SNA,2025-11-04T21:36:00+00:00,Snap-on to Present at Baird 2025 Global Industrial Conference,Yahoo,https://finnhub.io/api/news?id=8c245bdfc41fcc4f47cc33b20c8f96d172d0be9be6bca467cb661d03eef8cd7b
SNA,2025-11-01T23:15:00+00:00,"ADP, Snap-on Lead 14 Companies To Announce Annual Increases In First Half Of November",SeekingAlpha,https://finnhub.io/api/news?id=bce96eb99718ccd11e6a6fa83c53734cf90fb5a50c94ba49224fe30158c70dba
SNA,2025-10-27T12:36:10+00:00,1 Unpopular Stock That Should Get More Attention and 2 We Find Risky,Yahoo,https://finnhub.io/api/news?id=c65fa75537d585e9fa91064caae65d9211b396b7437b5d9dd9f60e996e640eed
SNA,2025-10-23T05:32:53+00:00,The Top 5 Analyst Questions From Snap-on’s Q3 Earnings Call,Yahoo,https://finnhub.io/api/news?id=888916799fb24d22d794ecc5a721c554d0d64cd11961f26c5d511b1d2b75e3ad
SNA,2025-10-22T00:04:12+00:00,Tigress Financial Maintains Snap-on (SNA) Buy Recommendation,Fintel,https://finnhub.io/api/news?id=940311c38eef3cc267927d1de61041c26dd46ac35b49aaf5d2ad66be54e7f56a
SNA,2025-10-20T11:09:13+00:00,"Snap-On: The Valuation Is Too High, Even If The Company Is Solid",SeekingAlpha,https://finnhub.io/api/news?id=302975fd88875bc573146a8c6153b53130862f816a93ebf75136661dbb808c33
SNA,2025-10-18T11:15:52+00:00,Snap-on: Growing Again Despite Macro Uncertainty (Rating Upgrade),SeekingAlpha,https://finnhub.io/api/news?id=87009f8038741615044b4dc07edf5ef903f0722d671dea8fe833ca531a3cdc1f
SNA,2025-10-18T04:17:35+00:00,Snap-on (SNA): Neutral Revenue Outlook and Projected Margin Expansion Ahead of Upcoming Earnings,Yahoo,https://finnhub.io/api/news?id=a7bcf6d81930e1fbb5fbe5d30facea98b00b17c74c4cf428acca7bb0b5ee8717
SNA,2025-10-18T00:05:26+00:00,Baird Maintains Snap-on (SNA) Neutral Recommendation,Fintel,https://finnhub.io/api/news?id=81ce703c56dc8351ea13f1205cbc51c6b73d6adb4ea2beacad5301b85661a73e
SNA,2025-10-17T17:10:00+00:00,Snap-On Inc. stock underperforms Friday when compared to competitors,MarketWatch,https://finnhub.io/api/news?id=9eaa325396f2cad53219f4bf09cc5fb91262d47354977107d4ce10521e34b0d3
SNA,2025-10-17T12:12:39+00:00,How Investors May Respond To Snap-on (SNA) Q3 Earnings Beat and Repair Systems Segment Growth,Yahoo,https://finnhub.io/api/news?id=1c1170642a30a7fd85583d01bdf01e7eb1fc40857dd37e44879f58d112af7d78
SNA,2025-10-17T09:26:00+00:00,"Company News for Oct 17, 2025",Yahoo,https://finnhub.io/api/news?id=37f16c9269d2cb42f9f6a11dd2f6154882680520bd95c34e19f5587f924baa9e
SNA,2025-10-17T05:31:21+00:00,SNA Q3 Deep Dive: Diagnostics and Repair Systems Lead Amid Macro Uncertainty,Yahoo,https://finnhub.io/api/news?id=894c45f30ebaef0bf0cb4bc5062ee0cc88df79f6b459e508fd0e0bcf4e827178
SNA,2025-10-16T21:01:00+00:00,Snap-on Inc (SNA) Q3 2025 Earnings Call Highlights: Resilient Growth Amid Market Challenges,Yahoo,https://finnhub.io/api/news?id=e2acc3dcfa1f9b55c5bce49a0035af798b462b0f59d4c4e5a6bdb63a25565583
SNA,2025-10-16T18:56:36+00:00,Snap-on Incorporated (SNA) Q3 2025 Earnings Call Transcript,SeekingAlpha,https://finnhub.io/api/news?id=4d3cf4b60232cbe1c7f5858ca32d947d5b51c815c9e025e58af09b046d31c5d0
SNA,2025-10-16T17:10:00+00:00,Snap-On Inc. stock outperforms competitors on strong trading day,MarketWatch,https://finnhub.io/api/news?id=0d312b6ca541fdb4043508ed817df293263c6b72c79af1fc3533dc5aead2e64b
SNA,2025-10-16T16:40:00+00:00,"Snap-on's Q3 Earnings Beat Estimates, Organic Sales Rise 3%",Yahoo,https://finnhub.io/api/news?id=59408ca8db008cb10597caea7d1c74bfbac2300c2af1aab990d4c35258ddc96d
SNA,2025-10-16T13:30:04+00:00,Snap-On (SNA) Reports Q3 Earnings: What Key Metrics Have to Say,Yahoo,https://finnhub.io/api/news?id=e6fa85c65ee434a270f70ece44d414c5d5d35070a8129657168bca05c4a0b378
SNA,2025-10-16T12:21:36+00:00,"Stocks making the biggest moves midday: Snap-on, Triumph Financial, Micron & more",CNBC,https://finnhub.io/api/news?id=bdac518664c4b62212f617b6adcc0949f575c50dd26dd032a2260f3674305e6e
SNA,2025-10-16T11:45:02+00:00,Snap-On (SNA) Q3 Earnings and Revenues Top Estimates,Yahoo,https://finnhub.io/api/news?id=37ef520df2717f24c5f0688320874c08fbc9387eebe9a8f418960d31ccd0637b
SNA,2025-10-16T11:43:27+00:00,Stocks Rise Pre-Bell as Investors Gauge Trump's Latest Comments on US-China Trade Tensions,Yahoo,https://finnhub.io/api/news?id=8346c69b21e7d2181aa1f2fb3b0ad930de64dd15e07756ec9f38f38cc1f8d64d
SNA,2025-10-16T10:59:57+00:00,Snap-on (NYSE:SNA) Misses Q3 Sales Expectations,Yahoo,https://finnhub.io/api/news?id=44a5832136ce2a7c31728b3db35b96446ced56b1c277414585d52e57392a8915
SNA,2025-10-16T10:43:49+00:00,Snap-On: Q3 Earnings Snapshot,Yahoo,https://finnhub.io/api/news?id=6ccdd5fd59470e11ff7a4524bfefd538e89162e01c5c56606f7c49b29be8d212
SNA,2025-10-16T10:43:02+00:00,Snap-on Incorporated 2025 Q3 - Results - Earnings Call Presentation,SeekingAlpha,https://finnhub.io/api/news?id=06e0dc457f2be9f20c760800eb487a2a317772154101e8f85280b5639b94abab
SNA,2025-10-16T10:30:00+00:00,Snap-on Announces Third Quarter 2025 Results,Yahoo,https://finnhub.io/api/news?id=21036432610bb4946ad06fe15920201ffc0ebb5165130fa96980e0c437c883cd
SNA,2025-10-15T17:10:00+00:00,Snap-On Inc. stock underperforms Wednesday when compared to competitors,MarketWatch,https://finnhub.io/api/news?id=9ccf81ea495309ba5354111800bbfc98d32f0304112f47acf93e05c693a0575a
SNA,2025-10-15T12:02:47+00:00,Barrington Research Maintains Snap-on (SNA) Outperform Recommendation,Fintel,https://finnhub.io/api/news?id=f2c23dbac152a60faee08d3932110f21bed0d7293681d303999250582eaf913e
SNA,2025-10-15T03:02:19+00:00,Snap-on (SNA) Q3 Earnings Report Preview: What To Look For,Yahoo,https://finnhub.io/api/news?id=5497cf06c2d10ba90977565ccee44cc6eb00a7ae9018129b50a67437b4b884b3
SNA,2025-10-13T17:10:00+00:00,"Snap-On Inc. stock rises Monday, still underperforms market",MarketWatch,https://finnhub.io/api/news?id=658aef9590cfc409b93d098b3ef0f2a71ae38d6fbc0f85db20394c8fe0e50020
SNA,2025-10-13T13:15:04+00:00,Curious about Snap-On (SNA) Q3 Performance? Explore Wall Street Estimates for Key Metrics,Yahoo,https://finnhub.io/api/news?id=76fdf55f66c04f17c8dafc8e82a152681fd7eef8a52e77d72f664dec5236dd9c
SNA,2025-10-10T15:32:00+00:00,Snap-on's Pre-Q3 Earnings Reveal Positive Trends: What's in Store?,Yahoo,https://finnhub.io/api/news?id=b40866e4786790dd067867ce6f096204acb7a715550ae85af9c1d6ee7b4dadb9
SNA,2025-10-09T12:12:57+00:00,A Fresh Look at Snap-on (SNA) Valuation After Strong Quarterly Results and Analyst-Beating Performance,Yahoo,https://finnhub.io/api/news?id=8d31063e108d1f20c4f60b1a206700fd8fbc52d6bdb8b046bb093d1109783f4e
SNA,2025-10-08T04:33:34+00:00,1 Cash-Heavy Stock with Promising Prospects and 2 We Turn Down,Yahoo,https://finnhub.io/api/news?id=ec52d66378913ad1b2476c6af3106d8e3f8c54c3d11a793a7e2d5f092db942e5
SNA,2025-10-07T03:34:55+00:00,Reflecting On Professional Tools and Equipment Stocks’ Q2 Earnings: Snap-on (NYSE:SNA),Yahoo,https://finnhub.io/api/news?id=949a7b9504f5acda09b5477d061f8635a727dcc179aef6396f133b904e0f9938
SNA,2025-10-02T11:30:00+00:00,Snap-on Incorporated to Webcast 2025 Third Quarter Results Conference Call,Yahoo,https://finnhub.io/api/news?id=84e8c5c50ce703e9a7a7e5820eb08b41a39fd281ca68b23d1949a046138e6e2f
SNA,2025-09-29T07:34:47+00:00,Here's What to Expect From Snap-on's Next Earnings Report,Yahoo,https://finnhub.io/api/news?id=5f2ce210277c2e14914e60f2dda0126938a26d18951c5776ed3dc7cd5e743048
SNA,2025-09-26T04:42:02+00:00,1 Profitable Stock with Promising Prospects and 2 Facing Challenges,Yahoo,https://finnhub.io/api/news?id=4de9b295653746a5ec3ac2cc280bf3273efacdf5ea916c06e97431c51a890fda
SNA,2025-09-24T04:32:15+00:00,1 Safe-and-Steady Stock with Solid Fundamentals and 2 That Underwhelm,Yahoo,https://finnhub.io/api/news?id=2f508f2080839e90a8174d5bfc10bc51322798f1202494d698033c840a41daeb
SNA,2025-09-23T13:42:15+00:00,Is Snap-on Stock Outperforming the Dow?,Yahoo,https://finnhub.io/api/news?id=1e816c41c2319e4480b5a2a410f580efa6029ea746cc985a25071d608597330f
SNA,2025-09-22T23:00:00+00:00,"NACCE Names Snap-On's Nick Pinchuk ""Lifetime Achievement"" Award Recipient",Yahoo,https://finnhub.io/api/news?id=d36cff35542bf519ae54a09d67b1186231e05e364731f16d713bf8a453fd77b1
SNA,2025-09-17T13:24:37+00:00,Snap-on (NYSE:SNA) Hasn't Managed To Accelerate Its Returns,Yahoo,https://finnhub.io/api/news?id=c66ac275759928c1ebf65c4e20c16e3256e8f29120489f36399fd8e56b140f2e
SNA,2025-09-15T05:34:48+00:00,1 Mid-Cap Stock for Long-Term Investors and 2 We Brush Off,Yahoo,https://finnhub.io/api/news?id=e5a358665d0812fe5c31cb8921a0c0be01cfccc0a013dddf50641275266217cc
SNA,2025-09-15T05:04:33+00:00,"Snap-on (SNA): Buy, Sell, or Hold Post Q2 Earnings?",Yahoo,https://finnhub.io/api/news?id=a0506acafe2172e64c861e2e9a4cd4644300309c8bee26b2753ebc9d2f510750
SNA,2025-09-05T19:03:29+00:00,"Dividend Champion, Contender, And Challenger Highlights: Week Of September 7",SeekingAlpha,https://finnhub.io/api/news?id=ff914b676260c3d875ed7f5add1e0b873c78fd74eee4f340db91c840588fe9c1
SNA,2025-08-28T16:15:17+00:00,Do Wall Street Analysts Like Snap-on Stock?,Yahoo,https://finnhub.io/api/news?id=32f56aad1bc324d4b707de2d6cf127969220b4fae254bf6e6440143ba77b378e
SNA,2025-08-27T17:27:25+00:00,"Pfizer: Finally Some Fortune, Plus Twenty High-Quality Dividend Growth Valuations",SeekingAlpha,https://finnhub.io/api/news?id=ec425284e980cf083d7d06feec4294590bc48a5d33b2fdd798c828b58de26570
SNA,2025-08-15T17:48:49+00:00,"Dividend Champion, Contender, And Challenger Highlights: Week Of August 17",SeekingAlpha,https://finnhub.io/api/news?id=9b2a01b624677892059b7a8132b4efbc29a18735cc952241fa7696e5a9f35bc9
