ticker,published_utc,title,publisher,url
STLA,2025-11-10T09:57:10+00:00,EV Company News For The Month Of October 2025,SeekingAlpha,https://finnhub.io/api/news?id=39ce8edbee5b064daedda61b9ade00faf60796a6ec295b98623b46454f8f0b27
STLA,2025-11-08T08:15:00+00:00,Why Investors Should Expect October 2025 Consumer Price Index To Rise,SeekingAlpha,https://finnhub.io/api/news?id=6e6a8bb03302d89b068ef209deff048abb29b0331c5faf93277ee1992bbfd5d6
STLA,2025-10-31T08:00:17+00:00,Stellantis: A Potential Value Trap Rather Than An Undervalued Opportunity,SeekingAlpha,https://finnhub.io/api/news?id=c043e0b2eda445d0344be85b0369c9d679f7754764803405f1ff7ad58cb35aa2
STLA,2025-10-30T13:56:29+00:00,Stellantis N.V. (STLA) Q3 2025 Sales Call Transcript,SeekingAlpha,https://finnhub.io/api/news?id=e26848c6a20a861ce9cc96f79ae44874b55138b9913a6294bea76f967b97af3a
STLA,2025-10-30T08:45:31+00:00,Jeep-maker Stellantis posts rising sales as US business improves,Fintel,https://finnhub.io/api/news?id=28d04fdd2ff3e864cd46a317f03e36c8dc566fe50465634f3ca681d0963f7897
STLA,2025-10-30T08:34:01+00:00,Stellantis N.V. (STLA) Q3 2025 Sales/ Trading Statement Call - Slideshow,SeekingAlpha,https://finnhub.io/api/news?id=be5f499d2af6d8c37bb8b20d81eb9a64b0ac2166e2f30632e606a7947a4a7793
STLA,2025-10-28T04:30:00+00:00,Losing Charge? The Investing Outlook For Electric Vehicles,SeekingAlpha,https://finnhub.io/api/news?id=a2ff5f526f43e3c6c6ba2caf03fbe43b6ac5e30e57bc76f0945ea5e085367618
STLA,2025-10-27T04:30:00+00:00,Chart Of The Day: Auto Stocks Cruising As Tariff Threat Fades,SeekingAlpha,https://finnhub.io/api/news?id=be0720f9f6d860b83f9adb9ba156c9510e675f3445b64dee075b30882da4c8db
STLA,2025-10-25T12:52:20+00:00,Cleveland-Cliffs Teases Transformative Partnership And Entry Into Rare Earths,SeekingAlpha,https://finnhub.io/api/news?id=fad98ea59cbc5b0ef9768bfbd50943dd5b699724d61b4779f7ea082f79d7b4bd
STLA,2025-10-24T08:24:16+00:00,LONDON MARKET OPEN: FTSE edges up as retail sales beat forecasts,Fintel,https://finnhub.io/api/news?id=e351f39b994d6e6296cc71b3fd2951adcc382354c7f0ea57906ced963dcbabed
STLA,2025-10-24T07:54:55+00:00,"Canada slashes Stellantis, GM tariff-free car imports",Fintel,https://finnhub.io/api/news?id=9eb869d097228a78e58ce5dc49cff16b914651032dc6d076c59ce00b5acbf30a
STLA,2025-10-17T09:39:26+00:00,Earnings Preview: Who Will Do Better Between Ford And GM? My Money Is On GM,SeekingAlpha,https://finnhub.io/api/news?id=5355cecdf60fbd196d2d75654625ff26af0f331a66576de29d423706d952e8b3
STLA,2025-10-15T06:53:48+00:00,Wall Street Breakfast Podcast: Stellantis Bets On U.S. Production,SeekingAlpha,https://finnhub.io/api/news?id=7d6dee420e4ebc1f38d4c495522e9fe8aafca9b07757d1534c30cf46f35b9c5b
STLA,2025-10-10T07:32:44+00:00,Stellantis third quarter shipments rise 13% on North America rebound,Fintel,https://finnhub.io/api/news?id=dc33f6d13219fd877162d7d49dacc3a97600758cc18747ec177f257f2bb24da8
STLA,2025-10-09T02:31:39+00:00,EV Company News For The Month Of September 2025,SeekingAlpha,https://finnhub.io/api/news?id=c3886b2713d7981f35fc5c00ff61fa9ddb7061f50075327c7d95196740abf77f
STLA,2025-10-08T14:10:00+00:00,U.S. Electric Vehicle Transition Delayed But Not Derailed By Subsidy Exit,SeekingAlpha,https://finnhub.io/api/news?id=0895d362b9ab5984401df38502f6c1a51201a4f93a1d0b32ce00020b243c15f1
STLA,2025-10-07T15:00:00+00:00,Archer Aviation: Flying Car Stock Still Has Runway Ahead,SeekingAlpha,https://finnhub.io/api/news?id=94ff12bcf6345a548b5e7f639be91ea11d0e1c1c1907fb71f468d9d6fc7c5cfa
STLA,2025-10-06T06:09:02+00:00,Stellantis: Bold Transition Back To Internal Combustion Vehicles,SeekingAlpha,https://finnhub.io/api/news?id=38b7456e1b97a5cc7460c0b87471bef77edc650532c515e17de77f1023a04d0d
STLA,2025-10-02T00:11:49+00:00,Stellantis N.V. (STLA) Launches Intelligence Battery Integrated System Prototype,Yahoo,https://finnhub.io/api/news?id=7952dd0c5d8ecf50bc16ce29ece3d3b045b5db479a5aeaf895e152b64532f4ea
STLA,2025-10-01T21:04:00+00:00,FCA US Total Sales Rise 6% Year Over Year in US Third-quarter Report,Yahoo,https://finnhub.io/api/news?id=52369e916bafc20e266c2d2b1cd284b3ec0f85c5c1ba022c5b1ad57930b30846
STLA,2025-10-01T16:38:29+00:00,Stellantis Expands AI Partnership With Mistral AI,Yahoo,https://finnhub.io/api/news?id=56daaf2cb603e294f1d00f69a7f8eee9ce35305b7d0126f3e8d8a32925107969
