ticker,published_utc,title,publisher,url
TSLA,2025-11-12T22:02:40+00:00,Tracking Cathie Wood's ARK Invest 13F Portfolio - Q3 2025 Update,SeekingAlpha,https://finnhub.io/api/news?id=e40ec65ff111700464629f15fa3b413b2a2a5176dbc6bda627c5aa446e6bd8ee
TSLA,2025-11-12T16:37:00+00:00,What Tesla Stock Would Look Like in 10 Years If Musk Hits Pay Targets,Yahoo,https://finnhub.io/api/news?id=d6edb26de7cdbdc3312cd64041086f09dfb0a6ea95c16126356f29cb70ba8934
TSLA,2025-11-12T16:22:35+00:00,TSLA: Tesla Sales Plunge 23% Globally After U.S. Tax Credit Ends,Yahoo,https://finnhub.io/api/news?id=0049d0a4805e59b0b3734432077378d4922a8fa69ba01bd87ff025ef31af24fe
TSLA,2025-11-12T16:13:50+00:00,Tesla Faces Key Turning Points as Morgan Stanley Flags Six-to-12-Month Catalysts,Yahoo,https://finnhub.io/api/news?id=6d123e2b5c823c5d9bea4ed01532e385d967720a3b93c1f0f583982e3c834fe2
TSLA,2025-11-12T15:46:06+00:00,"'Michael Burry Scared Me,' Says 25-Year-Old Who Bought Nvidia Dip For $101—'SOLD IT ALL!!' Over AI Bubble Fears, Now Sitting On Cash Awaiting Crash",Yahoo,https://finnhub.io/api/news?id=3e1f30806176d5da807d4836646d52878d907b9b2944bc86c611fe9a5cdecefc
TSLA,2025-11-12T15:16:10+00:00,"Robert Kiyosaki Says He's Never Been Fired Because He's 'An Entrepreneur, Not An Employee'",Yahoo,https://finnhub.io/api/news?id=7b26a5ce51f172a2ed509c4d7cde7ef5b7ef8b932233113e36e90bb7d9f2b46b
TSLA,2025-11-12T15:01:59+00:00,Nasdaq Loses Early Gains,Yahoo,https://finnhub.io/api/news?id=3638db684edb083293c24d34de12f71ca134aa095cb979c3b12164dd7e1b37cd
TSLA,2025-11-12T15:01:00+00:00,"Coinbase to Leave Delaware, Reincorporate in Texas",Yahoo,https://finnhub.io/api/news?id=6ee7f944b21445b38aa42729b29202d6d9b584d11dcd0df556c777004f290365
TSLA,2025-11-12T14:53:00+00:00,Tesla Stock Is Stable Despite Awful EV Sales. Why Wall Street Isn’t Worried Yet.,Yahoo,https://finnhub.io/api/news?id=b98de3f9c171d9ab2d4a26241d166ce91c6b8804da1a5b6962d8c3531c01a18f
TSLA,2025-11-12T14:35:10+00:00,"Stock market today: Dow, S&P 500, Nasdaq diverge as Big Tech wobbles ahead of House shutdown vote",Yahoo,https://finnhub.io/api/news?id=5ac1e354046ae67801df8a12a0c9586a9da27f72dc8aca009ddc32880dfd8396
TSLA,2025-11-12T14:16:08+00:00,Elon Musk Says 'It's Time' To Put Dogecoin On The Moon But It Is Not DOGE That Surges,Yahoo,https://finnhub.io/api/news?id=ddb3be070563c4f33ee25457d05983aa3dd4e3ddcc356116059e5e3f3b37e943
TSLA,2025-11-12T13:53:19+00:00,Crypto exchange Coinbase set to reincorporate in Texas,Yahoo,https://finnhub.io/api/news?id=2e8ec03d9c188b5ce437a84957be1929c292a686f45af17f54c676eb9c6c3f4d
TSLA,2025-11-12T13:48:58+00:00,10 High Quality ETFs & Stocks To Buy In The Next Market Downturn And Hold Until 2030,SeekingAlpha,https://finnhub.io/api/news?id=76b42e36e743e58ebcb32e24328c02d01398875d1a87ece4f4584b582d89ee87
TSLA,2025-11-12T13:48:18+00:00,Warren Buffett Says 'Very Wealthy CEOs Hate When Others Get Even Richer' — Was It a Dig at Elon Musk As He Could Become World's 1st Trillionaire?,Yahoo,https://finnhub.io/api/news?id=e07d0dbaf21daf0f8e35497e1a5c5d1098e2a6ad11914491501cca9adbe7cc3b
TSLA,2025-11-12T13:28:13+00:00,What will matter to Tesla stock price over the next 6 to 12 months?,Yahoo,https://finnhub.io/api/news?id=872ab94be1bbb9624b01fb0bcdc06e6f8ca0af5bb4da20489d0dbd1da0ccac75
TSLA,2025-11-12T13:15:00+00:00,Tesla’s October Sales Were Awful. The Stock Is Rising.,Yahoo,https://finnhub.io/api/news?id=a5826b5da730c29baadca5f251ac8caed83b1aae4caa024e3bfcc2b1ba2fb213
TSLA,2025-11-12T12:37:29+00:00,Latest News In Electric Vehicles - Aptera Motors Advances Toward Scalable Solar Vehicle Production,Yahoo,https://finnhub.io/api/news?id=f7e63a10175432d47fc9125871ec93b67e93b0677e81456f37f4e60d40f6e4cd
TSLA,2025-11-12T12:31:11+00:00,"Cathie Wood Dumps $2.4 Million Worth Of Tesla Shares, Doubles Down On These AI Stocks",Yahoo,https://finnhub.io/api/news?id=e94dc85e708409a86b13369f382029aec33036b6875142e13aeb6c8c43b1daa7
TSLA,2025-11-12T12:26:00+00:00,"These Stocks Are Moving the Most Today: AMD, Oklo, Nvidia, On Holding, Bill Holdings, and More",Yahoo,https://finnhub.io/api/news?id=d7e4b6abca580b17f00dbefbf94b385e5ea1b5f848ef589750d61e8879d1d8a4
TSLA,2025-11-12T12:12:15+00:00,Rivian Surges as CEO RJ Scaringe Lands $4.6 Billion Payday,Yahoo,https://finnhub.io/api/news?id=6ab6f9f4cf6baa757ac2b42cbe4f8edb278cdc25b36c7a97b66f6518794058ee
TSLA,2025-11-12T11:32:00+00:00,The Zacks Analyst Blog Highlights Tesla and QuantumScape,Yahoo,https://finnhub.io/api/news?id=59dbcb24878eb2985619c7faaf278586cf64187567242f2bbee350bf1b625e8d
TSLA,2025-11-12T11:30:05+00:00,How buying the dip & selling the rip is fueling investor gains,Yahoo,https://finnhub.io/api/news?id=738997381394a14560151d48bdec123a0739e03365fda67c173eebb586b884af
TSLA,2025-11-12T11:00:01+00:00,"Waymo begins offering freeway robotaxi rides in San Francisco, LA and Phoenix",CNBC,https://finnhub.io/api/news?id=36427d01b5b1ca8f2227aae24582add0d5f786a172b896ba482fa632918ad5df
TSLA,2025-11-12T10:30:00+00:00,"Humanoids Rise: Figure's $1 Billion, Musk's $1 Trillion, XPeng's IRON",SeekingAlpha,https://finnhub.io/api/news?id=46b3ef5114dce45077af222fb0792937a880642e65af848e55860a464494083b
TSLA,2025-11-12T10:21:30+00:00,Tesla's Bot Optimus Is No More Than A Dream,SeekingAlpha,https://finnhub.io/api/news?id=9b8fd18ab4ba4bdaa732d788d9fdb6c7f6db14d7422354847f73392c40601d7d
TSLA,2025-11-12T09:31:00+00:00,Uber Stock Is a Buy: But You'll Have to Watch It Closely,Yahoo,https://finnhub.io/api/news?id=1bbb39b792663917fee1bd06321826e56bc80b06285f0b5adfe72b2a314f4f8c
TSLA,2025-11-12T08:37:56+00:00,"Coinbase moves incorporation to Texas from Delaware, following Musk's lead",CNBC,https://finnhub.io/api/news?id=818a184754596f33098448e0c920439900d470af0d63c128ec7737af6008f379
TSLA,2025-11-12T08:05:00+00:00,Prediction: This Dividend-Paying Value Stock Will Join Berkshire Hathaway in the $1 Trillion Club Before Walmart,Yahoo,https://finnhub.io/api/news?id=d919804423962c5ae8cd0475aa6ee107188b1a5a36915ea9c65b1c7ecbd46a11
TSLA,2025-11-12T05:00:00+00:00,Baron Technology Fund Q3 2025 Top Contributors And Detractors,SeekingAlpha,https://finnhub.io/api/news?id=23ed55211d9527fd87fa0f74c9afa2026bad2ec2ad20ebd38f8eac34175b98eb
TSLA,2025-11-12T03:01:12+00:00,From $20K To $1M: The Nvidia Trade Jim Cramer Called Back In 2017,Yahoo,https://finnhub.io/api/news?id=ece8b2853b35932713a900d1739792c6698aad5ba6c6d692e73aef7c93363f60
TSLA,2025-11-12T02:01:04+00:00,Bitwise Investment Chief Says Bitcoin Sideways Movement 'Means Bigger Allocations',Yahoo,https://finnhub.io/api/news?id=c0e90d72c355646977aec8c134571fb4c8e268c3593df8e435b19c1e2d431025
TSLA,2025-11-12T01:12:00+00:00,Could Buying Tesla Today Set You Up for Life?,Yahoo,https://finnhub.io/api/news?id=a23923ae469a0cf804bc8cd9d98d38f950b5b700412143de26bd745e481f2ac2
TSLA,2025-11-11T23:31:23+00:00,Dave Ramsey Tells Gen Z To Push Back Against The Establishment By Picking Up A Trade Instead Of An 'Overpriced And Leveraged' Degree,Yahoo,https://finnhub.io/api/news?id=4e5c19f78e57f27f14d5e96d86993e34d6da64a931a28003f542969d6ea9d87b
TSLA,2025-11-11T22:01:08+00:00,"Not a 'Zombie Company': Scale AI's CFO Says People 'Mischaracterize' Deal That Sparked Founder Joining Meta, Boasts Misunderstood Trajectory",Yahoo,https://finnhub.io/api/news?id=9601bbc02733bc92425f6786754628306ad02333b029a98f74412768903f3c9e
TSLA,2025-11-11T21:59:09+00:00,Tesla just bet $1 trillion on Elon Musk’s next decade,Yahoo,https://finnhub.io/api/news?id=456a184983a586582b2187450a036f0717755cdf1be72b058b686c3549e0c3b7
TSLA,2025-11-11T21:43:41+00:00,US Equity Indexes Mixed as Technology Restrains Nasdaq Composite,Yahoo,https://finnhub.io/api/news?id=1b29ec77843759a214fa6853819c9082b8226a96226f8b136d48a109162ff3ed
TSLA,2025-11-11T21:23:00+00:00,"These Stocks Moved the Most Today: CoreWeave, Nvidia, Tesla, Nebius, Rigetti, BigBear.ai, Rocket Lab, and More",Yahoo,https://finnhub.io/api/news?id=b4123dc3a58132906e0066ed2b2428ef0e083123cbc5c5c93921a90f55f5bb88
TSLA,2025-11-11T21:22:51+00:00,"Tesla Just Lost Its Cybertruck Leader. Should You Buy, Sell, or Hold TSLA Stock?",Yahoo,https://finnhub.io/api/news?id=57d7f7ea51fd87b938a4257a4c65f4a705e669cfd528a47fcf164a70f9914287
TSLA,2025-11-11T19:01:05+00:00,Crypto Is 'Boring' Now – Here's Why That's Actually A Good Thing,Yahoo,https://finnhub.io/api/news?id=a05523df98ea9278abc3a12227f05e792b6af5eab21964c8d15da936579f3dd6
TSLA,2025-11-11T18:11:08+00:00,What the Rise of Trillionaires Could Mean for the World,Yahoo,https://finnhub.io/api/news?id=ea1e058886e317a67c03d51cf991528057dabbcf017cd3d6ae550ef386f1a6c5
TSLA,2025-11-11T18:07:00+00:00,Tesla: what must happen for the $1 trillion payout,Yahoo,https://finnhub.io/api/news?id=82bbbe83b1ac9e7ce3d3a6a774d857322fca10d561074da7d591697c14492c4a
TSLA,2025-11-11T18:01:06+00:00,"Bitcoin To $1M, Jesus Christ's Second Coming: Crypto Speculators Bet On What Will Happen Before GTA VI",Yahoo,https://finnhub.io/api/news?id=5e6f3dc3d6a884dd6dc126e252b9b1dba7cac8a8b4a323764658406151f5c46f
TSLA,2025-11-11T16:24:47+00:00,"Tech Weekly: precious chip deals, precious metals",Yahoo,https://finnhub.io/api/news?id=f32f5efdb131a47979a500e61f78d1649df2063f9a189257165a9590b7258a87
TSLA,2025-11-11T16:21:43+00:00,"Cathie Wood Sells More Tesla, Pivots to AI Boom",Yahoo,https://finnhub.io/api/news?id=8ec363e08fd308477c230ca42c2449c0295a67cec1a6722ad1b6e7e68ce894a7
TSLA,2025-11-11T16:18:09+00:00,5 Things That Have Made Tesla Stock Jump Over the Years,Yahoo,https://finnhub.io/api/news?id=67127b96e32a7beac090a907b34f5482dbc3a9467751afe51a9585da03a20087
TSLA,2025-11-11T16:10:33+00:00,"Top Analysts See S&P 500 Climbing 7,500 by 2026 on AI Momentum",Yahoo,https://finnhub.io/api/news?id=7cb7682312d759fd8654667dfbb6bf11c7b75eb219e82f405a9daf824cee1ed1
TSLA,2025-11-11T15:43:13+00:00,Tesla Stock Is Slipping Today as Investors Eye Chinese Sales Numbers,Yahoo,https://finnhub.io/api/news?id=90dcd5e0ed242db1088f8b29e4deec495b634aaa7b38b0e0e3586cdec8584a40
TSLA,2025-11-11T15:40:08+00:00,How the Wealth of the 5 Richest People in 2000 Compares With the 5 Richest in 2025,Yahoo,https://finnhub.io/api/news?id=d0cf3e6d9cf8c42fc59a2d8e03d53686cc1b755580e10837f9a99cbe0e60acd1
TSLA,2025-11-11T15:32:00+00:00,"These Stocks Are Moving the Most Today: CoreWeave, Nvidia, Tesla, Nebius, Rigetti, BigBear.ai, Rocket Lab, and More",Yahoo,https://finnhub.io/api/news?id=2e7d15812426b7d311a2bee0b3b2d467490c9cbc2017b4c231d1c126589dae25
TSLA,2025-11-11T15:15:31+00:00,Tesla China Sales Hit 3-Year Low,Yahoo,https://finnhub.io/api/news?id=15eea56e5028beb3ca40329b4fdcf0d1fa99c9ce8ec1072b0aa355ccbb4c88af
TSLA,2025-11-11T14:57:00+00:00,EV Face-Off: Tesla's Scale vs. QuantumScape's Battery Vision,Yahoo,https://finnhub.io/api/news?id=8e3c140f47b762ec2b7317019f1e7c47b076cd45f6eca4d3ea2854f25b44f49d
TSLA,2025-11-11T14:52:18+00:00,Tesla: Still A Strong Buy (On Pullbacks),SeekingAlpha,https://finnhub.io/api/news?id=b0f70c0629f1ea1889a0fb2eca300ac0eb787636ea1d63ae4907615fa2647a57
TSLA,2025-11-11T14:46:00+00:00,What Tesla Stock Looks Like in 10 Years If Musk Hits Pay Targets,Yahoo,https://finnhub.io/api/news?id=cf88f0a7609d8eca2060d7811f016b342527497429d767df24045e95f938f449
TSLA,2025-11-11T14:18:07+00:00,Elon Musk's $1 Trillion Pay Package Won't Save A Fading Giant,SeekingAlpha,https://finnhub.io/api/news?id=70893754d24c04dd61de252a60c24d61d5fbdeaa46cf164fb238e655b4aa9e2d
TSLA,2025-11-11T12:30:51+00:00,XPeng's Iron Vs. Tesla's Optimus: The Battle For The Future Of Robotics,SeekingAlpha,https://finnhub.io/api/news?id=1255aa83e44ec0713a4084c3d3d949c7cd9697471eb72dfb634219ea8b98891f
TSLA,2025-11-11T12:10:06+00:00,Intense competition drags Tesla’s China sales to lowest point in three years,Yahoo,https://finnhub.io/api/news?id=514117b7c5f0d75e97399423c24468f40c4ae553f894cfc1564f1d7a0e619652
TSLA,2025-11-11T12:09:31+00:00,TSLA: Tesla Stock Soars After Chair Predicts Historic AI-Driven Expansion,Yahoo,https://finnhub.io/api/news?id=c18533bcc13e14c36027f35ae0071180b7e5775c0bf6c6d6e59be41c696e1a10
TSLA,2025-11-11T11:44:27+00:00,"Social Buzz: Wallstreetbets Stocks Mostly Lower Premarket Tuesday; Rocket Lab to Advance, CoreWeave to Decline",Yahoo,https://finnhub.io/api/news?id=e5da4cc942e1f8e921b601b85dbff57c309d3b2e5de238c6bbc122a6ecfd3af9
TSLA,2025-11-11T11:37:26+00:00,Latest News In Energy Transition - Brazil Expands Renewable Capacity With New Solar and Hybrid Plants,Yahoo,https://finnhub.io/api/news?id=23e2ef307670ccac2daf5fe992a9a1b25ba00b97f148f1c9243c22a3120e8f9d
