event_type,count,avg_10d,med_10d,avg_20d,hit_rate_10d
regulatory_approval,51,0.017485148217262114,-0.0003142690368289,0.021848567598543395,0.39215686274509803
earnings_miss_or_cut,187,0.015347328622314452,0.0140330757974147,0.0077042354284654405,0.47058823529411764
operational_issue,135,0.013714770216112395,0.0115456037816791,0.018408521144434385,0.4962962962962963
negative_move,947,0.010869004777675703,0.0063211775264809,0.015572067955326492,0.498416050686378
earnings_beat,274,0.007961740415976684,0.012226379208320901,0.01968217734150791,0.49635036496350365
buyback,143,0.006205159130859671,0.0065493763849845,0.011516454797677492,0.5034965034965035
analyst_upgrade,1736,0.006014268185332627,0.0023826508738128502,0.007600113129268933,0.4435483870967742
analyst_downgrade,761,0.0048120524266566204,0.0020804252990615,0.009561358799969676,0.46780551905387646
positive_move,972,0.004773446487438145,0.0038659462713893497,0.01283460807108698,0.49794238683127573
other,58601,0.004219166061523988,0.0029712811480615,0.008983419520561657,0.46241531714475864
product_launch,869,0.0036618634227574345,0.0019569297534568,0.008497169045315594,0.44533947065592633
partnership,1213,0.003048878002188718,-0.0003677570440717,0.010306217714012765,0.4476504534212696
legal_risk,564,0.0021922136019678984,0.0020852026296924,0.015950530992573063,0.4432624113475177
contract_win,2124,0.0021804983268174207,-0.0014954860682270502,0.0038256394973366636,0.4274952919020716
m&a,876,-0.00226294420355748,-0.0006634186099452001,-0.001251085677267236,0.4121004566210046
